bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/idrinth	
armoured	idrinth_hev_high_elf_vampires_idrinthchampion
melee_expert	idrinth_hev_high_elf_vampires_idrinthchampion
hybrid	idrinth_hev_high_elf_vampires_idrinthchampion
perfect_vigour	idrinth_hev_high_elf_vampires_idrinthchampion
armoured	idrinth_hev_high_elf_vampires_idrinthgeneral
melee_expert	idrinth_hev_high_elf_vampires_idrinthgeneral
hybrid	idrinth_hev_high_elf_vampires_idrinthgeneral
perfect_vigour	idrinth_hev_high_elf_vampires_idrinthgeneral
hybrid	idrinth_hev_high_elf_vampires_chapel_mixed
good_range	idrinth_hev_high_elf_vampires_chapel_mixed
hybrid	idrinth_hev_high_elf_vampires_chapel_asuryan
good_range	idrinth_hev_high_elf_vampires_chapel_asuryan
regeneration	idrinth_hev_high_elf_vampires_chapel_asuryan
hybrid	idrinth_hev_high_elf_vampires_chapel_kurnous
good_range	idrinth_hev_high_elf_vampires_chapel_kurnous
hybrid	idrinth_hev_high_elf_vampires_chapel_khaine
melee_expert	idrinth_hev_high_elf_vampires_chapel_khaine
hybrid	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
good_range	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
spellcaster	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
regeneration	idrinth_hev_high_elf_vampires_chapel_asuryan_leader
hybrid	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
spellcaster	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
good_range	idrinth_hev_high_elf_vampires_chapel_kurnous_leader
hybrid	idrinth_hev_high_elf_vampires_chapel_khaine_leader
spellcaster	idrinth_hev_high_elf_vampires_chapel_khaine_leader
melee_expert	idrinth_hev_high_elf_vampires_chapel_khaine_leader
hybrid	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
good_range	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
spellcaster	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
regeneration	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
hybrid	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
spellcaster	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
good_range	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
hybrid	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
melee_expert	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
spellcaster	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
can_fly	idrinth_hev_high_elf_vampires_chapel_cave_bats
expendable	idrinth_hev_high_elf_vampires_chapel_cave_bats
can_fly	idrinth_hev_high_elf_vampires_chapel_hawks
expendable	idrinth_hev_high_elf_vampires_chapel_hawks
expendable	idrinth_hev_high_elf_vampires_chapel_wolves
can_fly	idrinth_hev_high_elf_vampires_chapel_great_eagle
expendable	idrinth_hev_high_elf_vampires_chapel_great_eagle
hybrid	idrinth_hev_high_elf_vampires_chapel_outriders
good_range	idrinth_hev_high_elf_vampires_chapel_outriders
mass_regeneration	idrinth_hev_high_elf_vampires_chapel_shrine
meat_shield	idrinth_hev_high_elf_vampires_chapel_shrine
magical_aura	idrinth_hev_high_elf_vampires_chapel_shrine
melee_expert	idrinth_hev_high_elf_vampires_chapel_stone_wolves
regeneration	idrinth_hev_high_elf_vampires_chapel_stone_wolves
melee_expert	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
anti_infantry	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
assassin	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
melee_expert	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
meat_shield	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
melee_expert	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
hybrid	idrinth_hev_high_elf_vampires_chapel_asuryan_large
good_range	idrinth_hev_high_elf_vampires_chapel_asuryan_large
regeneration	idrinth_hev_high_elf_vampires_chapel_asuryan_large
hybrid	idrinth_hev_high_elf_vampires_chapel_kurnous_large
good_range	idrinth_hev_high_elf_vampires_chapel_kurnous_large
hybrid	idrinth_hev_high_elf_vampires_chapel_khaine_large
melee_expert	idrinth_hev_high_elf_vampires_chapel_khaine_large
hybrid	idrinth_hev_high_elf_vampires_chapel_outriders_large
good_range	idrinth_hev_high_elf_vampires_chapel_outriders_large
