key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;17;db/unit_abilities_tables/idrinth											
idrinth_lore_thalui_oath_of_withstanding	true	idrinth_lore_thalui	idrinth_lore_thalui_oath_of_withstanding_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_eternal_servitude	true	idrinth_lore_thalui	idrinth_lore_thalui_eternal_servitude_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_shadow_finger	true	idrinth_lore_thalui	idrinth_lore_thalui_shadow_finger_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_deadly_intend	true	idrinth_lore_thalui	idrinth_lore_thalui_deadly_intend_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_shadow_dance	true	idrinth_lore_thalui	idrinth_lore_thalui_shadow_dance_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_oath_of_vengeance	true	idrinth_lore_thalui	idrinth_lore_thalui_oath_of_vengeance_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_oath_of_withstanding_upgraded	true	idrinth_lore_thalui		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_eternal_servitude_upgraded	true	idrinth_lore_thalui		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_shadow_finger_upgraded	true	idrinth_lore_thalui		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_deadly_intend_upgraded	true	idrinth_lore_thalui		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_shadow_dance_upgraded	true	idrinth_lore_thalui		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_lore_thalui_oath_of_vengeance_upgraded	true	idrinth_lore_thalui		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_common	true	false	spell		false
idrinth_hev_high_elf_vampires_anti_chaos	true	idrinth_lore_thalui		wh_type_augment		wh_main_anc_group_common	false	false	passive		false
