unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/idrinth	
idrinth_hev_high_elf_vampires_idrinthchampion	wh2_main_hef
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_group_empire
idrinth_hev_high_elf_vampires_idrinthchampion	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_mixed	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_asuryan	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_khaine	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_kurnous	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_mixed	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_asuryan	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_khaine	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_kurnous	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_mixed	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_asuryan	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_khaine	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_kurnous	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_mixed	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_asuryan	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_khaine	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_kurnous	wh_main_group_empire
idrinth_hev_high_elf_vampires_idrinthchampion	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_mixed	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_asuryan	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_khaine	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_kurnous	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_mixed	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_asuryan	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_khaine	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_kurnous	wh_main_group_kislev
idrinth_hev_high_elf_vampires_idrinthchampion	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_mixed	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_asuryan	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_khaine	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_kurnous	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_idrinthchampion	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_mixed	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_asuryan	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_khaine	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_kurnous	wh3_main_ksl
idrinth_hev_high_elf_vampires_idrinthchampion	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_mixed	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_asuryan	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_khaine	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_kurnous	wh3_main_cth
idrinth_hev_high_elf_vampires_idrinthchampion	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_mixed	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_asuryan	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_khaine	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_kurnous	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_khaine_leader	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_shrine	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_shrine	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_shrine	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_shrine	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_shrine	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_shrine	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_shrine	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_shrine	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_shrine	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_cave_bats	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_shrine	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_wolves	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_wolves	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_wolves	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_wolves	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_wolves	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_wolves	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_wolves	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_wolves	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_wolves	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_wolves	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_great_eagle	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_hawks	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_hawks	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_hawks	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_hawks	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_hawks	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_hawks	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_hawks	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_hawks	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_hawks	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_hawks	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_outriders	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_outriders	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_outriders	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_outriders	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_outriders	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_outriders	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_outriders	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_outriders	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_outriders	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_outriders	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh_main_group_empire
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh_dlc05_group_wood_elves
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh_main_group_kislev
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh_main_group_bretonnia
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh3_main_ksl
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh3_main_cth
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh2_main_def
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	wh2_main_hef
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	wh_main_group_vampire_counts
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	wh2_dlc11_group_vampire_coast
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	wh2_dlc11_group_vampire_coast
