key	text	tooltip
#Loc;1;text/idrinth__br.loc.tsvdb/idrinth__br.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	A gathering of rogues, exiles and adventurers of elven kind gathering around a chapel to their deities.	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	Capela da Comunidade Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	Veterinária Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	Alcance Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	Artesãos Élficos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	Veterinária Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	Alcance Élfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	Artesãos Élficos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	Acampamento Élfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	Curandeiros Élficos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendente Élfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	Comerciante Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	Acampamento Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Curandeiros Élficos	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendente Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	Comerciante Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	Elven Artisan Quarters	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	Taverna Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	Biblioteca Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	Elven Artisan Quarters	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	Taverna Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	Biblioteca Élfica	false
