key	text	tooltip
#Loc;1;text/idrinth__br.loc.tsvdb/idrinth__br.loc		
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthchampion	High Elf Vampire	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthchampion	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Guarda de Asuryan	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Guarda de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine	Guarda de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_mixed	Guarda Élfica Mista	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_mixed	Elfos	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Sacerdote de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Sacerdote de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Sacerdote de Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_shrine	Santuário de Asuryan, Kurnous e Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_wolves	Lobos Abençoados	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Morcegos Abençoados	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_hawks	Falcões Abençoados	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Grande Águia Abençoada	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_shrine	Shrine	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_wolves	Lobos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Morcegos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_hawks	Falcões	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Grande Águia	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Lobos de Pedra	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Lobos Gigantes	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders	Batedores da Capela	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders	Cavaleiros	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Sacerdote Vampiro de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Sacerdote Vampiro de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Sacerdote Vampiro de Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Perdido de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Perdido de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Perdido de Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthgeneral	High Elf Vampire	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Guarda de Asuryan	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Guarda de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Guarda de Khaine	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Elfos	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Batedores da Capela	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Cavaleiros	false
