key	text	tooltip
#Loc;1;text/idrinth__br.loc.tsvdb/idrinth__br.loc		
missions_localised_description_idrinth_unlock_wh2_main_hef_high_elves	Há sussurros de que você pode chamar a atenção de uma assistência poderosa se lutar contra as forças do caos. Diz-se que um estranho está disposto a lutar ao seu lado se você puder provar sua disposição de lutar e sangrar...	false
missions_localised_title_idrinth_unlock_wh2_main_hef_high_elves	Um Estranho Contra o Caos	false
missions_localised_title_idrinth_unlock_wh_main_vmp_vampire_counts	Um Estranho Contra o Caos	false
missions_localised_title_idrinth_unlock_wh_main_emp_empire	Um Estranho Contra o Caos	false
missions_localised_title_idrinth_unlock_wh_dlc05_wef_wood_elves	Um Estranho Contra o Caos	false
missions_localised_title_idrinth_unlock_wh3_main_ksl_kislev	Um Estranho Contra o Caos	false
missions_localised_description_idrinth_unlock_wh_main_vmp_vampire_counts	Há sussurros de que você pode chamar a atenção de uma assistência poderosa se lutar contra as forças do caos. Diz-se que um estranho está disposto a lutar ao seu lado se você puder provar sua disposição de lutar e sangrar...	false
missions_localised_description_idrinth_unlock_wh_main_emp_empire	Há sussurros de que você pode chamar a atenção de uma assistência poderosa se lutar contra as forças do caos. Diz-se que um estranho está disposto a lutar ao seu lado se você puder provar sua disposição de lutar e sangrar...	false
missions_localised_description_idrinth_unlock_wh_dlc05_wef_wood_elves	Há sussurros de que você pode chamar a atenção de uma assistência poderosa se lutar contra as forças do caos. Diz-se que um estranho está disposto a lutar ao seu lado se você puder provar sua disposição de lutar e sangrar...	false
missions_localised_description_idrinth_unlock_wh3_main_ksl_kislev	Há sussurros de que você pode chamar a atenção de uma assistência poderosa se lutar contra as forças do caos. Diz-se que um estranho está disposto a lutar ao seu lado se você puder provar sua disposição de lutar e sangrar...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_hef_high_elves	Após aceitar sua moeda, o estranho se apresenta como um companheiro asur chamado Idrinth. Tirando seus mantos de viagem, você vê a armadura de combate de um mestre do saber, uma espada larga combinando e um arco de metal perto de olhos estoicos que sugerem brutalidades ainda por cometer.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_vmp_vampire_counts	O estranho abaixa seu capuz, revelando feições élficas. Não sou amigo da destruição, mas nossos inimigos forçaram minha mão. Guardando suas moedas, ele declara: Retornar à família após muitos anos quando estão em perigo é certo, não importa quem seja essa família. Você não concorda?	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_emp_empire	Eu lutei e sangrei com guerreiros que acreditam em Ulric ou Sigmar. Temos os mesmos inimigos, ele declara enquanto remove seus mantos de viagem, e espero expulsá-los junto com vocês. Compartilhando meu conhecimento para o bem do mundo. Seus olhos olham friamente para humanos orando antes de retornar sua atenção ao general e sua guarda.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_dlc05_wef_wood_elves	Espero lutar ao lado dos caçadores das florestas, primo, declara o asur em tom amigável enquanto guarda seu pagamento e manto de viagem. Posso não ser tão bom atirador quanto vocês, mas não vou atrasá-los. Um sorriso levemente divertido brinca em seus lábios sem sangue antes de desaparecer. Vamos ter uma caçada que será contada por séculos!	false
