key	text	tooltip
#Loc;1;text/idrinth_building_culture_variants__.br.loc.tsv/idrinth_building_culture_variants__.br.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Capela Thaluiana	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Capela Thaluiana de Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Capela Thaluiana de Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Capela Thaluiana de Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Grande Capela Thaluiana de Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Grande Capela Thaluiana de Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Grande Capela Thaluiana de Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Cabana Veterinária	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Casa Veterinária	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Mansão Veterinária	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Pequeno Alcance	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Alcance	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Artesãos de Altar	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Pequeno Acampamento Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Carroça de Curandeiro	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Intendente	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Comerciante	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Acampamento Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Carroça do Mestre Curandeiro	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Conselho do Acampamento	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Mercador	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Grande Acampamento Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Carroça Escola de Curandeiros	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Alto Conselho	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Assembleia de Mercadores	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Pequeno Bairro dos Artesãos	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Bairro dos Artesãos	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Pequena Taverna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Taverna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Grande Taverna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Biblioteca Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	Vila Móvel Thaluiana	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	Carroças da Academia de Curandeiros	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	Governo da Vila	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	Guilda de Mercadores	false
