key	text	tooltip
#Loc;1;text/idrinth_building_sets__.br.loc.tsv/idrinth_building_sets__.br.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	Uma reunião de malfeitores, exilados e aventureiros da raça élfica reunidos ao redor de uma capela para suas divindades.	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	Capela da Comunidade Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	Veterinária Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	Alcance Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	Artesãos Élficos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	Veterinária Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	Alcance Élfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	Artesãos Élficos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	Acampamento Élfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	Curandeiros Élficos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendente Élfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	Comerciante Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	Acampamento Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Curandeiros Élficos	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendente Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	Comerciante Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	Bairro dos Artesãos Élficos	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	Taverna Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	Biblioteca Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	Bairro dos Artesãos Élficos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	Taverna Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	Biblioteca Élfica	false
