key	text	tooltip
#Loc;1;text/idrinth__br.loc.tsvdb/idrinth__br.loc		
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Treinamento do Exército	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Assassinar	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Assaltar Unidades	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Especialista	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Valor das Eras	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Velocidade de Asuryan	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Proteção de Hoeth	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Proteção de Loec	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Golpe Colossal	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Mestre da Lâmina	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Difícil de Acertar	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Convicção	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Fervor	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Inviolável	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Tenacidade	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Evasão	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Aterramento	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Dreno de Poder	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Condutor Arcano	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	Vontade Imortal	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	Invocação de Nehek	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	Dança Macabra de Vanhel	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	Olhar de Nagash	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	Maldição dos Anos	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	Vento da Morte	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_training		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_cost		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_ages		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_loec		false
character_skills_localised_description_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_blade_master		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_hard_to_hit		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_conviction		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_fervour		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_inviolable_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_tenacity_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_06_evasion		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_07_earthing		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_08_power_drain		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death		false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	Quando lançado, este feitiço enfraquece as mentes inimigas; eles sentem o peso esmagador da realidade pressionando-os.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	O conjurador tece uma névoa confusa que entorpece e ilude os inimigos, fazendo-os tropeçar e cambalear.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	O conjurador abre um vórtice que leva ao Abismo. Qualquer coisa presa dentro dele será perdida para sempre.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_the_withering	O Mago destrói seus inimigos por dentro, corroendo as mentes dos inimigos com dúvida e crise.	false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_01_spirit_leech		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_04_soulblight		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna		false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	O Inimigo Enfraquecido	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	Miasma Mistificador de Melkoth	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	Abismo das Sombras	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_the_withering	A Murcha	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_01_spirit_leech	Sanguessuga Espiritual	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_04_soulblight	Praga da Alma	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness	Perdição e Trevas	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna	O Destino de Bjuna	false
character_skills_localised_name_idrinth_skill_magic_weapon_master	Mestre da Lâmina, Arco e Magia	false
character_skills_localised_description_idrinth_skill_magic_weapon_master	Se pode ser conjurado, disparado ou cortado, este dominou tudo o que decidiu aprender.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition	O que é um patrulheiro sem uma flecha? Quem pode ser o melhor sem dezenas?	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload	Um patrulheiro não deve dar trégua ao inimigo. As flechas devem cair como um dilúvio, tão mortais quanto relâmpagos.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage	Que cada projétil seja imbuído com a força de Kurnous, e traga morte a todos os seus inimigos.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1	Quando a flecha voa mais longe, pode matar mais cedo, o que é vital na Caça.	false
