key	text	tooltip
#Loc;1;text/idrinth_dilemmas__.br.loc.tsv/idrinth_dilemmas__.br.loc		
dilemmas_localised_description_idrinth_unlock_choice	Um estranho encapuzado aparece uma noite, oferecendo sua ajuda por uma pequena taxa. Você aceita a ajuda?	false
dilemmas_localised_title_idrinth_unlock_choice	O Estranho	false
dilemmas_localised_description_idrinth_dilemma_high_elves	Um mensageiro élfico chega, procurando por um Idrinth. O Idrinth que você conhece o evitou até agora, talvez você possa ajudar?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	Uma patrulheira elfa da floresta chega ao seu acampamento. Afirmando que precisa de seu primo ensanguentado. Enquanto Idrinth rapidamente confirma que era ele o procurado, ele se recusa a encontrá-la.	false
dilemmas_localised_description_idrinth_dilemma_empire	Uma velha estudiosa se aproxima do seu acampamento. Carregando livros do passado, ela afirma ter encontrado conhecimento valioso para você.	false
dilemmas_localised_description_idrinth_dilemma_kislev	À noite, enquanto um vento gelado tortura seus guardas, eles capturam um kislevita tentando entrar furtivamente no acampamento. Ele é jovem e aparentemente inofensivo, mas o que você faz com ele?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	Uma noite você encontra um de seus servos drenado de sangue bem do lado de fora da tenda de Idrinth. Entrando apressadamente, você o encontra lendo um pergaminho antigo sentado à sua mesa.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	O Mensageiro	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	Primos de Sangue	false
dilemmas_localised_title_idrinth_dilemma_kislev	Intruso!	false
dilemmas_localised_title_idrinth_dilemma_empire	A Estudiosa	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	O Fim do Servo	false
dilemmas_localised_description_idrinth_dilemma_dwarves	Um grupo de anões foi avistado nas proximidades. Seus batedores ouviram suas histórias sobre as guerras vampíricas. Um elfo mencionado parece suspeitosamente com Idrinth.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	Uma Antiga Rixa	false
dilemmas_localised_description_idrinth_dilemma_weapon	Após a última caçada, Idrinth se aproxima de você com o que parece ser uma antiga arma élfica. Ele pede seu conselho sobre a quem dedicá-la.	false
dilemmas_localised_title_idrinth_dilemma_weapon	Uma Arma Abençoada	false
dilemmas_localised_description_idrinth_dilemma_armour	Após a última batalha, Idrinth se aproxima de você com o que parece ser uma antiga armadura élfica. Ele pede seu conselho sobre a quem dedicá-la.	false
dilemmas_localised_title_idrinth_dilemma_armour	Uma Armadura Abençoada	false
dilemmas_localised_description_idrinth_dilemma_talisman	Após terminar a viagem do dia, Idrinth se aproxima de você com o que parece ser um antigo talismã élfico. Ele pede seu conselho sobre a quem dedicá-lo.	false
dilemmas_localised_title_idrinth_dilemma_talisman	Um Talismã Abençoado	false
dilemmas_localised_description_idrinth_mode_choice	Ative a fidelidade ao lore mais restrita para limitar as culturas recrutadoras para o Cavaleiro-Erudito Idrinth Thalui a Altos Elfos, Elfos da Floresta, Kislev, O Império e Condes Vampiros. Escolha o modo menos restrito para ter Costa Vampírica, Legiões de Nagash, Elfos Negros, Cathay e Bretônia na lista também.	false
dilemmas_localised_title_idrinth_mode_choice	Modo: Fidelidade ao Lore Mais ou Menos Restrita	false
dilemmas_localised_description_idrinth_dilemma_unlock_high_elves	Após aceitar sua moeda, o estranho se apresenta como um companheiro Asur chamado Idrinth. Tirando seus mantos de viagem, você vê a armadura de combate de um mestre do saber, uma espada larga combinando e um arco de metal perto de olhos estoicos que sugerem brutalidades ainda por cometer.	false
dilemmas_localised_title_idrinth_dilemma_unlock_high_elves	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_wood_elves	Espero lutar ao lado dos caçadores das florestas, primo, declara o asur em tom amigável enquanto guarda seu pagamento e manto de viagem. Posso não ser tão bom atirador quanto vocês, mas não vou atrasá-los. Um sorriso levemente divertido brinca em seus lábios sem sangue antes de desaparecer. Vamos ter uma caçada que será contada por séculos!	false
dilemmas_localised_title_idrinth_dilemma_unlock_wood_elves	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_kislev	O estranho se despe após receber o pagamento e revela um rosto élfico e armamento élfico sob seus mantos de viagem. Meu nome é Idrinth, tenho lutado contra nossos inimigos por mais tempo do que a maioria de vocês viveu. Eu gostaria de praticar com a força e ensiná-los. Um leve sorriso brinca em seus lábios sem sangue antes de desaparecer em um rosto sem idade.	false
dilemmas_localised_title_idrinth_dilemma_unlock_kislev	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_empire	Eu lutei e sangrei com guerreiros que acreditam em Ulric ou Sigmar. Temos os mesmos inimigos, ele declara enquanto remove seus mantos de viagem, e espero expulsá-los junto com vocês. Compartilhando meu conhecimento para o bem do mundo. Seus olhos olham friamente para humanos orando antes de retornar sua atenção ao general e sua guarda.	false
dilemmas_localised_title_idrinth_dilemma_unlock_empire	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_vampire_counts	O estranho abaixa seu capuz, revelando feições élficas. Não sou amigo da destruição, mas nossos inimigos forçaram minha mão. Guardando suas moedas, ele declara: Retornar à família após muitos anos quando estão em perigo é certo, não importa quem seja essa família. Você não concorda?	false
dilemmas_localised_title_idrinth_dilemma_unlock_vampire_counts	Idrinth Thalui	false
dilemmas_localised_description_idrinth_chapels_choice	Você quer habilitar as Capelas Thaluianas para sua campanha? Elas oferecem mais defesas e opções comparadas a ter apenas o herói.	false
dilemmas_localised_description_idrinth_levelMinimum_choice	Para recrutar Idrinth Thalui, o Cavaleiro-Erudito, você precisará ter um general com um nível mínimo. Quão cedo você quer poder recrutá-lo?	false
dilemmas_localised_title_idrinth_story_choice	Eventos de História	false
dilemmas_localised_description_idrinth_story_choice	Você quer habilitar eventos de história quando Idrinth alcançar lugares específicos e importantes?	false
dilemmas_localised_title_idrinth_chapels_choice	As Capelas Thaluianas	false
dilemmas_localised_title_idrinth_levelMinimum_choice	Patente de Renome	false
dilemmas_localised_title_idrinth_story_dilemma_drakenhof	Drakenhof	false
dilemmas_localised_title_idrinth_story_dilemma_temple_of_khaine	Templo de Khaine	false
dilemmas_localised_title_idrinth_story_dilemma_shrine_of_khaine	Santuário de Khaine	false
dilemmas_localised_title_idrinth_story_dilemma_temple_of_asuryan	Templo de Asuryan	false
dilemmas_localised_title_idrinth_story_dilemma_temple_of_kurnous	Templo de Kurnous	false
dilemmas_localised_title_idrinth_story_dilemma_shrine_of_loec	Santuário de Loec	false
dilemmas_localised_title_idrinth_story_dilemma_hel_fenn	Hel Fenn	false
dilemmas_localised_title_idrinth_story_dilemma_black_pyramid	Pirâmide Negra de Nagash	false
dilemmas_localised_title_idrinth_story_dilemma_vauls_anvil_ulthuan	Bigorna de Vaul em Ulthuan	false
dilemmas_localised_title_idrinth_story_dilemma_vauls_anvil_naggaroth	Bigorna de Vaul em Naggaroth	false
dilemmas_localised_title_idrinth_story_dilemma_vauls_anvil_loren	Bigorna de Vaul em Athel Loren	false
dilemmas_localised_title_idrinth_story_dilemma_tower_of_hoeth	Torre de Hoeth	false
dilemmas_localised_title_idrinth_story_dilemma_blood_keep	Fortaleza do Sangue	false
dilemmas_localised_title_idrinth_story_dilemma_oak_of_ages	Carvalho das Eras	false
dilemmas_localised_title_idrinth_story_dilemma_the_galleons_graveyard	Cemitério dos Galeões	false
dilemmas_localised_title_idrinth_story_dilemma_sartosa	Sartosa	false
dilemmas_localised_title_idrinth_story_dilemma_lahmia	Lahmia	false
dilemmas_localised_title_idrinth_story_dilemma_ghrond	Ghrond	false
dilemmas_localised_description_idrinth_story_dilemma_drakenhof	As torres negras do castelo Drakenhof perfuram a escuridão perpétua da Sylvânia. Idrinth permanece imóvel diante de seus portões, memórias das Guerras Vampíricas inundando-o involuntariamente. Eu sangrei aqui, ele sussurra, e renasci. Os Von Carstein me ensinaram o que eu havia me tornado—quisesse eu aprender ou não. Sua mão repousa no cabo da espada. Ele entra como parente de sangue, ou como um lembrete do que sua ambição custou ao mundo?	false
