key	text	tooltip
#Loc;1;text/idrinth__br.loc.tsv/idrinth__br.loc		
initiatives_localised_name_idrinth_khaine_pledge	Dedicar-se a Khaine	false
initiatives_localised_name_idrinth_kurnous_pledge	Dedicar-se a Kurnous	false
initiatives_localised_name_idrinth_asuryan_pledge	Dedicar-se a Asuryan	false
initiatives_localised_name_idrinth_khaine_prayer	Orar a Khaine	false
initiatives_localised_name_idrinth_kurnous_prayer	Orar a Kurnous	false
initiatives_localised_name_idrinth_asuryan_prayer	Orar a Asuryan	false
idrinth_khaine_pledge		false
idrinth_kurnous_pledge		false
idrinth_asuryan_pledge		false
idrinth_khaine_prayer		false
idrinth_kurnous_prayer		false
idrinth_asuryan_prayer		false
