key	text	tooltip
#Loc;1;text/.br/idrinth_pooled_resources__.br.loc		
pooled_resources_description_idrinth_khaine	Posição com Khaine	false
pooled_resources_display_name_idrinth_khaine	Favor de Khaine	false
pooled_resources_negative_factors_display_name_idrinth_khaine	Perdido	false
pooled_resources_positive_factors_display_name_idrinth_khaine	Ganho	false
pooled_resources_description_idrinth_kurnous	Posição com Kurnous	false
pooled_resources_display_name_idrinth_kurnous	Favor de Kurnous	false
pooled_resources_negative_factors_display_name_idrinth_kurnous	Perdido	false
pooled_resources_positive_factors_display_name_idrinth_kurnous	Ganho	false
pooled_resources_description_idrinth_asuryan	Posição com Asuryan	false
pooled_resources_display_name_idrinth_asuryan	Favor de Asuryan	false
pooled_resources_negative_factors_display_name_idrinth_asuryan	Perdido	false
pooled_resources_positive_factors_display_name_idrinth_asuryan	Ganho	false
