key	text	tooltip
#Loc;1;text/.br/idrinth_versions__.br.loc		
mct_patch_notes_idrinth_129_notes	- corrigido custos do tesouro para melhorias que davam dinheiro em vez de custar	false
mct_patch_notes_idrinth_129_version	v1.6.4	false
mct_patch_notes_idrinth_128_notes	- codigo reescrito para melhor estabilidade\\n- mais opcoes na ferramenta de configuracao do mod\\n- muitas pequenas correcoes	false
mct_patch_notes_idrinth_128_version	v1.6.3	false
mct_patch_notes_idrinth_127_notes	- melhorias de desempenho para chamadas de funcao atrasadas	false
mct_patch_notes_idrinth_127_version	v1.6.2	false
mct_patch_notes_idrinth_126_notes	- corrigido nowAndThen disparando com muita frequencia causando travamentos	false
mct_patch_notes_idrinth_126_version	v1.6.1	false
mct_patch_notes_idrinth_125_notes	- melhorias de tamanho de unidade\\n- reformulacao de melhoria de bestas	false
mct_patch_notes_idrinth_125_version	v1.6.0	false
mct_patch_notes_idrinth_124_notes	- prevenido spam de evento de remocao de caracteristica	false
mct_patch_notes_idrinth_124_version	v1.5.2	false
mct_patch_notes_idrinth_123_notes	- correcao para anti ataque relampago	false
mct_patch_notes_idrinth_123_version	v1.5.1	false
mct_patch_notes_idrinth_122_notes	- Melhorias de Unidade para unidades elficas adicionadas	false
mct_patch_notes_idrinth_122_version	v1.5.0	false
mct_patch_notes_idrinth_121_notes	- limpezas de codigo	false
mct_patch_notes_idrinth_121_version	v1.4.6	false
mct_patch_notes_idrinth_120_notes	- corrigido perda de nome ao ser atribuido uma "posicao governamental" da costa pirata	false
mct_patch_notes_idrinth_120_version	v1.4.5	false
mct_patch_notes_idrinth_119_notes	- correcoes para recursos de batalha\\n- otimizacoes de codigo	false
mct_patch_notes_idrinth_119_version	v1.4.4	false
mct_patch_notes_idrinth_118_notes	- corrigido um caso onde o painel de melhoria de unidade nao aparecia apos clicar no botao	false
mct_patch_notes_idrinth_118_version	v1.4.3	false
mct_patch_notes_idrinth_117_notes	- corrigido um caso onde o painel de melhoria de unidade nao aparecia apos clicar no botao	false
mct_patch_notes_idrinth_117_version	v1.4.2	false
mct_patch_notes_idrinth_116_notes	- adicionadas dicas para uso de unidades	false
mct_patch_notes_idrinth_116_version	v1.4.1	false
mct_patch_notes_idrinth_115_notes	- bencaos de unidade para animais waaagh funcionando\\n- rebalanceamento de edificios da horda	false
mct_patch_notes_idrinth_115_version	v1.4.0	false
mct_patch_notes_idrinth_114_notes	- correcoes para conjunto de unidades nao abrangendo tudo o necessario	false
mct_patch_notes_idrinth_114_version	v1.3.5	false
mct_patch_notes_idrinth_113_notes	- correcoes para conjunto de unidades nao abrangendo tudo o necessario	false
mct_patch_notes_idrinth_113_version	v1.3.4	false
mct_patch_notes_idrinth_112_notes	- correcoes para conjunto de unidades nao abrangendo tudo o necessario	false
mct_patch_notes_idrinth_112_version	v1.3.3	false
mct_patch_notes_idrinth_111_notes	- corrigida deteccao de iniciativas de personagem	false
mct_patch_notes_idrinth_111_version	v1.3.2	false
mct_patch_notes_idrinth_110_notes	- corrigida uma causa de travamento	false
mct_patch_notes_idrinth_110_version	v1.3.1	false
mct_patch_notes_idrinth_109_notes	- grande reescrita para desempenho	false
mct_patch_notes_idrinth_109_version	v1.3.0	false
mct_patch_notes_idrinth_108_notes	- corrigido numero da versao	false
mct_patch_notes_idrinth_108_version	v1.2.2	false
mct_patch_notes_idrinth_107_notes	- corrigido tratamento de anticaracteristica	false
mct_patch_notes_idrinth_107_version	v1.2.1	false
mct_patch_notes_idrinth_106_notes	- icone no assentamento quando capelas estao disponiveis\\n- muitas limpezas de codigo\\n- melhorias do sistema de devocao com ciume divino	false
mct_patch_notes_idrinth_106_version	v1.2.0	false
mct_patch_notes_idrinth_105_notes	- correcoes para recursos mal posicionados na interface	false
mct_patch_notes_idrinth_105_version	v1.1.18	false
mct_patch_notes_idrinth_104_notes	- mais uma correcao de interface de assentamento	false
mct_patch_notes_idrinth_104_version	v1.1.17	false
mct_patch_notes_idrinth_103_notes	- corrigido tratamento de botoes na visualizacao de assentamento	false
mct_patch_notes_idrinth_103_version	v1.1.16	false
mct_patch_notes_idrinth_102_notes	- corrigido armazenamento/recuperacao de status de item para prevenir ganho de multiplos conjuntos	false
mct_patch_notes_idrinth_102_version	v1.1.15	false
mct_patch_notes_idrinth_101_notes	- corrigido equipamento automatico de itens unicos	false
mct_patch_notes_idrinth_101_version	v1.1.14	false
mct_patch_notes_idrinth_100_notes	- titulos de senhor e cargo exibidos corretamente durante recrutamento\\n- prevenindo invocacao dupla (esperamos)	false
mct_patch_notes_idrinth_100_version	v1.1.13	false
mct_patch_notes_idrinth_99_notes	- corrigidos dois casos de dilemas disparando para a(s) faccao(oes) errada(s)	false
mct_patch_notes_idrinth_99_version	v1.1.12	false
mct_patch_notes_idrinth_98_notes	- corrigida mais uma coisa na entrega de itens	false
mct_patch_notes_idrinth_98_version	v1.1.11	false
mct_patch_notes_idrinth_97_notes	- correcoes de script de recrutamento\\n- correcoes de interface\\n- correcoes de script de itens	false
mct_patch_notes_idrinth_97_version	v1.1.10	false
mct_patch_notes_idrinth_96_notes	- corrigido codigo de entrega de itens	false
mct_patch_notes_idrinth_96_version	v1.1.9	false
mct_patch_notes_idrinth_95_notes	- algumas tarefas de organizacao	false
mct_patch_notes_idrinth_95_version	v1.1.8	false
mct_patch_notes_idrinth_94_notes	- corrigido configuracoes no multiplayer aparecendo para o jogador errado	false
mct_patch_notes_idrinth_94_version	v1.1.7	false
mct_patch_notes_idrinth_93_notes	- corrigido numero da versao	false
mct_patch_notes_idrinth_93_version	v1.1.6	false
mct_patch_notes_idrinth_92_notes	- prevenido faccoes npc de receberem eventos de localizacao e historia	false
mct_patch_notes_idrinth_92_version	v1.1.5	false
mct_patch_notes_idrinth_91_notes	- correcoes para ganho de itens	false
mct_patch_notes_idrinth_91_version	v1.1.4	false
mct_patch_notes_idrinth_90_notes	- correcoes de interface	false
mct_patch_notes_idrinth_90_version	v1.1.3	false
mct_patch_notes_idrinth_89_notes	- incremento do numero da versao	false
