key	text	tooltip
#Loc;1;text/idrinth__cn.loc.tsvdb/idrinth__cn.loc		
upgrade_tooltips_idrinth_unit_asuryan	将混编精灵卫士升级为阿苏里安卫士，花费 300 + 50 * 等级 金币并获得 等级² 恩宠	false
upgrade_tooltips_idrinth_priest_asuryan	尝试将此祭司转化为吸血鬼，花费 1000 金币和 250 恩宠。这可能会失败，最坏情况下会杀死他们。	false
upgrade_tooltips_idrinth_unit_khaine	将混编精灵卫士升级为凯恩卫士，花费 300 + 50 * 等级 金币并获得 等级² 恩宠。	false
upgrade_tooltips_idrinth_priest_khaine	尝试将此祭司转化为吸血鬼，花费 1000 金币和 250 恩宠。这可能会失败，最坏情况下会杀死他们。	false
upgrade_tooltips_idrinth_unit_kurnous	将混编精灵卫士升级为库尔诺斯卫士，花费 300 + 50 * 等级 金币并获得 等级² 恩宠	false
upgrade_tooltips_idrinth_priest_kurnous	尝试将此祭司转化为吸血鬼，花费 1000 金币和 250 恩宠。这可能会失败，最坏情况下会杀死他们。	false
upgrade_tooltips_idrinth_animal_kurnous_eagle	以库尔诺斯之名祝福巨鹰，花费 125 金币和 70 恩宠。	false
upgrade_tooltips_idrinth_animal_khaine_eagle	以凯恩之名祝福巨鹰，花费 125 金币和 70 恩宠。	false
upgrade_tooltips_idrinth_animal_asuryan_eagle	以阿苏里安之名祝福巨鹰，花费 125 金币和 70 恩宠。	false
upgrade_tooltips_idrinth_animal_kurnous_hawks	以库尔诺斯之名祝福猎鹰，花费 100 金币和 40 恩宠。	false
upgrade_tooltips_idrinth_animal_khaine_hawks	以凯恩之名祝福猎鹰，花费 100 金币和 40 恩宠。	false
upgrade_tooltips_idrinth_animal_asuryan_hawks	以阿苏里安之名祝福猎鹰，花费 100 金币和 40 恩宠。	false
upgrade_tooltips_idrinth_animal_kurnous_bats	以库尔诺斯之名祝福蝙蝠，花费 50 金币和 20 恩宠。	false
upgrade_tooltips_idrinth_animal_khaine_bats	以凯恩之名祝福蝙蝠，花费 50 金币和 20 恩宠。	false
upgrade_tooltips_idrinth_animal_asuryan_bats	以阿苏里安之名祝福蝙蝠，花费 50 金币和 20 恩宠。	false
upgrade_tooltips_idrinth_animal_kurnous_wolves	以库尔诺斯之名祝福狼群，花费 75 金币和 30 恩宠。	false
upgrade_tooltips_idrinth_animal_khaine_wolves	以凯恩之名祝福狼群，花费 75 金币和 30 恩宠。	false
upgrade_tooltips_idrinth_animal_asuryan_wolves	以阿苏里安之名祝福狼群，花费 75 金币和 30 恩宠。	false
upgrade_tooltips_idrinth_size_outriders	增加 5 名礼拜堂骑哨，花费 250 金币。等级保留。	false
upgrade_tooltips_idrinth_size_kurnous	增加 15 名库尔诺斯卫士，花费 300 金币。等级和老兵状态保留。	false
upgrade_tooltips_idrinth_size_khaine	增加 15 名凯恩卫士，花费 300 金币。等级和老兵状态保留。	false
upgrade_tooltips_idrinth_size_asuryan	增加 15 名阿苏里安卫士，花费 300 金币。等级和老兵状态保留。	false
