key	text	tooltip
#Loc;1;text/idrinth_building_chains__cn.loc.tsv/idrinth_building_chains__cn.loc		
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	精灵社区礼拜堂	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	一座服务于精灵流亡者、冒险者和流浪者小社区的礼拜堂。	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	精灵社区礼拜堂	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_beasts	精灵兽医	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_diplomacy	精灵外联处	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_altar	精灵工匠	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde	精灵营地	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	精灵治疗师	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_quartermaster	精灵军需官	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_trader	精灵商人	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters	工匠区	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern	精灵酒馆	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library	精灵图书馆	false
