key	text	tooltip
#Loc;1;text/idrinth__cn.loc.tsvdb/idrinth__cn.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	塔卢伊礼拜堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	塔卢伊阿苏里安礼拜堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	塔卢伊库尔诺斯礼拜堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	塔卢伊凯恩礼拜堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	塔卢伊阿苏里安大礼拜堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	塔卢伊库尔诺斯大礼拜堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	塔卢伊凯恩大礼拜堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	兽医小屋	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	兽医所	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	兽医馆	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	小型外联处	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	外联处	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	祭坛工坊	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	小型塔卢伊营地	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	治疗马车	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	军需官	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	商人	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	塔卢伊营地	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	大师治疗马车	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	营地议会	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	商贾	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	大型塔卢伊营地	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	治疗学院马车	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	高级议会	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	商会	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	小型工匠区	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	工匠区	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	小型精灵酒馆	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	精灵酒馆	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	大型精灵酒馆	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	精灵图书馆	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	移动塔卢伊村落	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	治疗学院马车队	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	村落政府	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	商人公会	false
