key	text	tooltip
#Loc;1;text/idrinth_building_sets__.cn.loc.tsv/idrinth_building_sets__.cn.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	一群流亡者、冒险者和精灵冒险家聚集在供奉神灵的礼拜堂周围。	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	精灵社区礼拜堂	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	精灵兽医	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	精灵外联处	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	精灵工匠	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	精灵兽医	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	精灵外联处	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	精灵工匠	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	精灵营地	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	精灵治疗师	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	精灵军需官	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	精灵商人	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	精灵营地	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	精灵治疗师	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	精灵军需官	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	精灵商人	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	精灵工匠区	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	精灵酒馆	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	精灵图书馆	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	精灵工匠区	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	精灵酒馆	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	精灵图书馆	false
