key	text	tooltip
#Loc;1;text/.cn/idrinth_cdir_events_dilemma_choice_details__.cn.loc		
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceFIRST	接受帮助。（英雄）	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceTHIRD	接受帮助。（将军）	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceSECOND	赶走陌生人。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesFIRST	赶走信使	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesFIRST	强迫他们会面	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevFIRST	交给 Idrinth 处理	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireFIRST	让她和 Idrinth 讨论过去的战争	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsFIRST	指控他杀害了仆人	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesSECOND	质问 Idrinth	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesSECOND	隐藏 Idrinth 直到游侠离开	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevSECOND	处决他	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireSECOND	让她和 Idrinth 讨论魔法	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsSECOND	询问他关于卷轴的事	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesTHIRD	让他们会面	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesTHIRD	质问 Idrinth	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevTHIRD	让他加入你	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireTHIRD	询问她关于 Idrinth 的事	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsTHIRD	去别处追查凶手	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesFIRST	向矮人询问那个精灵的更多信息	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesSECOND	向 Idrinth 询问吸血鬼战争	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesTHIRD	把 Idrinth 介绍给矮人	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponFIRST	阿苏里安。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponSECOND	库尔诺斯。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponTHIRD	凯恩。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourFIRST	阿苏里安。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourSECOND	库尔诺斯。	false
