key	text	tooltip
#Loc;1;text/.cn/idrinth_character_skills__.cn.loc		
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	军队训练	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	暗杀	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	突袭单位	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	专家	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	岁月之勇	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	阿苏里安之速	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	霍斯之护	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	洛艾克之护	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	巨力一击	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	剑术大师	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	难以命中	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	信念	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	狂热	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	神圣不可侵犯	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	坚韧	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	闪避	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	接地	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	吸取能量	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	奥术导管	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	不朽意志	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	尼赫克祈灵术	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	范赫尔的死亡之舞	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	纳迦什之眼	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	岁月诅咒	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	死亡之风	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_training		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_cost		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_ages		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_loec		false
character_skills_localised_description_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_blade_master		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_hard_to_hit		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_conviction		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_fervour		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_inviolable_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_tenacity_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_06_evasion		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_07_earthing		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_08_power_drain		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death		false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	施放时，此法术削弱敌人的心智；他们感受到现实的重压压在身上。	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	施法者编织一道令人困惑的迷雾，麻痹并欺骗敌人，使他们踉跄蹒跚。	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	施法者打开一个通往深渊的漩涡。任何被困其中的东西都将永远消失。	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_the_withering	巫师从内部摧毁敌人，用怀疑和危机腐蚀敌人的心智。	false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_01_spirit_leech		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_04_soulblight		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna		false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	削弱之敌	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	梅尔科斯的迷惑瘴气	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	暗影深渊	false
character_skills_localised_name_idrinth_wh_dlc05_skill_magic_shadow_the_withering	枯萎	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_01_spirit_leech	灵魂吸取	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_04_soulblight	灵魂枯萎	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness	厄运与黑暗	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna	布朱纳的命运	false
character_skills_localised_name_idrinth_skill_magic_weapon_master	剑弓魔法大师	false
character_skills_localised_description_idrinth_skill_magic_weapon_master	无论是施法、射击还是劈砍，他都已精通他决定学习的一切。	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition	没有箭的游侠算什么？没有数十支箭又怎能成为最好的？	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload	游侠不应给敌人喘息之机。箭雨必须如洪水般倾泻，如闪电般致命。	false
character_skills_localised_description_idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage	让每一支箭都注入库尔诺斯的力量，给他的所有敌人带来死亡。	false
