key	text	tooltip
#Loc;1;text/idrinth_character_trait_levels__.cn.loc.tsv/idrinth_character_trait_levels__.cn.loc		
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_known	你是凯恩和其他精灵眼中有名的精灵屠夫。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_known	你曾与许多精灵军队交战。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_known	受凯恩诅咒的精灵屠夫	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_despised	你是凯恩和其他精灵眼中有名的精灵屠夫。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_despised	你曾与许多精灵军队交战。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_despised	被蔑视的受凯恩诅咒精灵屠夫	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_hated	你是凯恩和其他精灵眼中有名的精灵屠夫。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_hated	你曾与许多精灵军队交战。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_hated	被憎恨的受凯恩诅咒精灵屠夫	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_known	你是库尔诺斯和其他精灵眼中有名的精灵屠夫。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_known	你曾与许多精灵军队交战。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_known	受库尔诺斯诅咒的精灵屠夫	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_despised	你是库尔诺斯和其他精灵眼中有名的精灵屠夫。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_despised	你曾与许多精灵军队交战。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_despised	被蔑视的受库尔诺斯诅咒精灵屠夫	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_hated	你是库尔诺斯和其他精灵眼中有名的精灵屠夫。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_hated	你曾与许多精灵军队交战。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_hated	被憎恨的受库尔诺斯诅咒精灵屠夫	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_known	你是阿苏里安和其他精灵眼中有名的精灵屠夫。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_known	你曾与许多精灵军队交战。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_known	受阿苏里安诅咒的精灵屠夫	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_despised	你是阿苏里安和其他精灵眼中有名的精灵屠夫。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_despised	你曾与许多精灵军队交战。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_despised	被蔑视的受阿苏里安诅咒精灵屠夫	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_hated	你是阿苏里安和其他精灵眼中有名的精灵屠夫。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_hated	你曾与许多精灵军队交战。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_hated	被憎恨的受阿苏里安诅咒精灵屠夫	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_hated		false
character_trait_levels_onscreen_name_idrinth_killer	复仇属于我	false
character_trait_levels_removal_text_idrinth_killer		false
character_trait_levels_explanation_text_idrinth_killer	你击败了 Idrinth Thalui。	false
character_trait_levels_colour_text_idrinth_killer	击败这位传奇领主使你对战斗有了更深的理解。	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_1	阿苏里安信徒	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_2	阿苏里安祭司	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_3	阿苏里安狂信者	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_1	阿苏里安怀疑者	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_2	阿苏里安叛徒	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_1	凯恩信徒	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_2	凯恩祭司	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_3	凯恩狂信者	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_1	凯恩怀疑者	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_2	凯恩叛徒	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_1	库尔诺斯信徒	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_2	库尔诺斯祭司	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_3	库尔诺斯狂信者	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_1	库尔诺斯怀疑者	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_2	库尔诺斯叛徒	false
character_trait_levels_onscreen_name_idrinth_thalui_name_active	塔卢伊	false
