key	text	tooltip
#Loc;1;text/idrinth__cn.loc.tsv/idrinth__cn.loc		
dilemmas_localised_description_idrinth_unlock_choice	一个穿着长袍的陌生人在一天晚上出现，愿意以少许报酬提供帮助。你接受帮助吗？	false
dilemmas_localised_title_idrinth_unlock_choice	陌生人	false
dilemmas_localised_description_idrinth_dilemma_high_elves	一位精灵信使到来，寻找一个叫 Idrinth 的人。你认识的 Idrinth 一直在躲避他，也许你可以帮忙？	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	一位木精灵游侠来到你的营地。她说她需要找她那沾满鲜血的表亲。Idrinth 很快确认自己就是那个人，但他拒绝会面。	false
dilemmas_localised_description_idrinth_dilemma_empire	一位年迈的学者走近你的营地。她带着关于过去的书籍，声称为你找到了有价值的知识。	false
dilemmas_localised_description_idrinth_dilemma_kislev	夜晚，当寒风折磨着你的卫兵时，他们抓住了一个试图潜入营地的基斯里夫人。他年轻且看起来无害，但你该怎么处置他？	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	一天晚上，你发现你的一个仆人被吸干血躺在 Idrinth 帐篷外。冲进去后，你发现他正在桌边看一卷古老的卷轴。	false
dilemmas_localised_title_idrinth_dilemma_high_elves	信使	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	血亲	false
dilemmas_localised_title_idrinth_dilemma_kislev	入侵者！	false
dilemmas_localised_title_idrinth_dilemma_empire	学者	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	仆人之死	false
dilemmas_localised_description_idrinth_dilemma_dwarves	附近发现了一群矮人。你的斥候偷听到他们讲述吸血鬼战争的故事。其中提到的一个精灵听起来很像 Idrinth。	false
dilemmas_localised_title_idrinth_dilemma_dwarves	一段旧仇	false
dilemmas_localised_description_idrinth_dilemma_weapon	最近一次狩猎后，Idrinth 拿着一件看起来像古代精灵武器的东西走近你。他问你该将它献给哪位神灵。	false
dilemmas_localised_title_idrinth_dilemma_weapon	祝福之武器	false
dilemmas_localised_description_idrinth_dilemma_armour	最近一场战斗后，Idrinth 拿着一件看起来像古代精灵护甲的东西走近你。他问你该将它献给哪位神灵。	false
dilemmas_localised_title_idrinth_dilemma_armour	祝福之护甲	false
dilemmas_localised_description_idrinth_dilemma_talisman	结束一天的旅程后，Idrinth 拿着一件看起来像古代精灵护符的东西走近你。他问你该将它献给哪位神灵。	false
dilemmas_localised_title_idrinth_dilemma_talisman	祝福之护符	false
dilemmas_localised_description_idrinth_mode_choice	启用更严格的背景设定友好性，将骑士学者 Idrinth Thalui 的招募文化限制为高等精灵、木精灵、基斯里夫、帝国和吸血鬼伯爵。选择宽松模式则还包括吸血鬼海岸、纳迦什军团、暗精灵、震旦和布列托尼亚。	false
dilemmas_localised_title_idrinth_mode_choice	模式：严格或宽松的背景设定友好性	false
