key	text	tooltip
#Loc;1;text/.cn/idrinth_mct__.cn.loc		
mct_idrinth_title	Idrinth Thalui - 高等精灵吸血鬼学识大师	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	一位堕落学识大师的故事\\n\\n曾经是一位受人尊敬的高等精灵学识大师，Idrinth Thalui 在血腥的吸血鬼战争中迎来了他凡人的终结，却作为他曾经对抗的那种生物重新崛起。现在，这位骑士学者在他的精灵传承和吸血鬼诅咒之间行走于危险的道路上，在这个被混沌撕裂的世界中寻找目标。\\n\\n你会引导他走向救赎还是拥抱内心的黑暗？他的命运掌握在你手中。\\n\\n独特招募\\n\\nIdrinth 可以作为领主或英雄被那些可能重视他双重本性的势力招募：\\n- 帝国（寻求奥术知识）\\n- 基斯里夫（急需强大盟友）\\n- 高等精灵（希望收复他们的同胞）\\n- 木精灵（重视他与库尔诺斯的联系）\\n- 吸血鬼伯爵（拥抱他新获得的力量）\\n\\n宽松设定模式\\n\\n在宽松设定模式下，添加了一些不太可能的派系，代表绝望的联盟：\\n- 布列托尼亚\\n- 震旦\\n- 暗精灵\\n- 纳迦什军团（模组派系）\\n- 吸血鬼海岸\\n\\n主要特色\\n\\n神眷系统\\n\\n在三位强大的精灵神明之间平衡你的效忠，每位都提供独特的道路来统一 Idrinth 破碎的存在：\\n\\n凯恩：以增强的近战能力和伤害输出拥抱侵略\\n\\n阿苏里安：通过改善的防御和魔法抗性寻求平衡\\n\\n库尔诺斯：以远程优势和机动性走猎人之路\\n\\n礼拜堂系统\\n\\n基于神明的影响，Idrinth 可以建立礼拜堂，显著影响驻军规模、力量和神眷使用，同时有益于当地经济和增长。\\n\\n如果不使用所需的模组，外来建筑槽位可能会表现异常 - 除非你玩的派系已经有外来建筑槽位，否则技术上不需要该模组。\\n\\n叙事抉择\\n\\n面对塑造 Idrinth 性格并决定他与神明关系的关键选择。你会拥抱你的精灵根源还是屈服于吸血鬼的力量？每个决定都会影响你的神眷并解锁永久加成。\\n\\n神圣神器套装\\n\\n收集并装备强大的神明相关神器来增强 Idrinth 的能力。完成一套装备以获得特殊加成，补充你选择的神明路线。\\n\\n精灵杀手后果\\n\\n一个动态特质系统，追踪你与精灵派系的战斗。你杀的精灵越多，你在他们中间就越出名、越被鄙视，最终被憎恨，带来重大的外交和神眷后果。\\n\\n奥术多面性\\n\\n精通多个魔法领域的法术，反映 Idrinth 的学者背景和吸血鬼转化：\\n- 吸血鬼学识\\n- 死亡学识\\n- 暗影学识\\n\\n自定义战斗派系\\n\\n在自定义战斗中将礼拜堂部队作为独立派系进行游戏，包括单人和多人模式。\\n\\n动物 WAAAGH\\n\\n将军收集了一群结盟的动物围绕在他身边，用祝福的动物创造出一场 WAAAGH。\\n\\n内测版本注意事项\\n\\n此模组处于早期内测开发阶段。你可能会遇到：\\n\\n- 军队中的某些按钮可能无法使用\\n- 某些 UI 更改需要一秒钟才能应用\\n- 平衡调整正在进行中\\n- 祈祷系统暂时被随机触发的神明干预所取代\\n\\n你的反馈对改进至关重要！请报告你遇到的任何问题。\\n\\n兼容性说明：\\n\\n理论上支持纳迦什自定义派系。但支持需要游戏测试，如果你发现错误请在这里报告，不要打扰其他模组！\\n\\n配置\\n\\n支持模组配置工具，但是可选的。\\n\\n此模组中的 AI\\n\\n模组中目前有一些 AI 生成的图像。一旦单位身份和外观确定，它们将逐渐被正式美术作品替换。	false
mct_idrinth_expanded_spawn_text	扩展生成文化	false
mct_idrinth_expanded_spawn_tooltip	允许 Idrinth 也为布列托尼亚、震旦、纳迦什军团、暗精灵和吸血鬼海岸生成。	false
mct_idrinth_level_adjustment_text	等级要求	false
mct_idrinth_level_adjustment_options_null_text	游戏早期	false
mct_idrinth_level_adjustment_options_one_text	游戏早期后段	false
mct_idrinth_level_adjustment_options_three_text	游戏中期前段	false
