key	text	tooltip
#Loc;1;text/idrinth__cn.loc.tsv/idrinth__cn.loc		
pooled_resources_description_idrinth_khaine	与凯恩的关系	false
pooled_resources_display_name_idrinth_khaine	凯恩恩宠	false
pooled_resources_negative_factors_display_name_idrinth_khaine	失去	false
pooled_resources_positive_factors_display_name_idrinth_khaine	获得	false
pooled_resources_description_idrinth_kurnous	与库尔诺斯的关系	false
pooled_resources_display_name_idrinth_kurnous	库尔诺斯恩宠	false
pooled_resources_negative_factors_display_name_idrinth_kurnous	失去	false
pooled_resources_positive_factors_display_name_idrinth_kurnous	获得	false
pooled_resources_description_idrinth_asuryan	与阿苏里安的关系	false
pooled_resources_display_name_idrinth_asuryan	阿苏里安恩宠	false
pooled_resources_negative_factors_display_name_idrinth_asuryan	失去	false
pooled_resources_positive_factors_display_name_idrinth_asuryan	获得	false
