key	text	tooltip
#Loc;1;text/.cn/idrinth_uied_component_texts__.cn.loc		
uied_component_texts_localised_string_Idrinth_StateText_fc1bd77b	当前激活	false
uied_component_texts_localised_string_Idrinth_StateText_5e2400a	关闭此角色的 Idrinth 路径通知	false
uied_component_texts_localised_string_Idrinth_StateText_5fa40ba9	Idrinth 的献身	false
uied_component_texts_localised_string_Idrinth_StateText_6926231c	Idrinth 的祈祷	false
uied_component_texts_localised_string_Idrinth_StateText_54a33572	占位符 1	false
uied_component_texts_localised_string_Idrinth_StateText_520024dc	占位符 4	false
uied_component_texts_localised_string_Idrinth_StateText_7df03839	占位符 6	false
uied_component_texts_localised_string_Idrinth_StateText_2ed10066	占位符 7	false
uied_component_texts_localised_string_Idrinth_StateText_ad00607	占位符 8	false
uied_component_texts_localised_string_Idrinth_StateText_56956138	占位符 9	false
uied_component_texts_localised_string_Idrinth_StateText_2d1802d	占位符 10	false
uied_component_texts_localised_string_Idrinth_StateText_97e54363	占位符 11	false
uied_component_texts_localised_string_Idrinth_StateText_2d67f411	占位符 12	false
uied_component_texts_localised_string_Idrinth_StateText_d12dea81	占位符 16	false
uied_component_texts_localised_string_Idrinth_StateText_24667457	占位符 17	false
uied_component_texts_localised_string_Idrinth_StateText_7a688d04	占位符 18	false
uied_component_texts_localised_string_Idrinth_StateText_3a099911	占位符 19	false
uied_component_texts_localised_string_Idrinth_StateText_3710e3f2	占位符 20	false
uied_component_texts_localised_string_Idrinth_StateText_49a7b394	占位符 21	false
uied_component_texts_localised_string_Idrinth_StateText_39b3dcfe	占位符 22	false
uied_component_texts_localised_string_Idrinth_StateText_b7030818	占位符 23	false
uied_component_texts_localised_string_Idrinth_StateText_b68b4233	占位符 24	false
uied_component_texts_localised_string_Idrinth_StateText_b3139611	占位符 25	false
