key	text	tooltip
#Loc;1;text/idrinth_building_culture_variants__cz.loc.tsv/idrinth_building_culture_variants__cz.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Thaluiánská kaple	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Thaluiánská kaple Asuryana	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Thaluiánská kaple Kurnouse	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Thaluiánská kaple Khaina	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Thaluiánská velká kaple Asuryana	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Thaluiánská velká kaple Kurnouse	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Thaluiánská velká kaple Khaina	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Veterinární chýše	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Veterinární dům	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Veterinární sídlo	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Menší vyslanectví	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Vyslanectví	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Výrobci oltářů	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Malý Thaluiánský tábor	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Vůz léčitele	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Intendant	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Obchodník	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Thaluiánský tábor	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Vůz hlavního léčitele	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Rada tábora	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Kupec	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Velký Thaluiánský tábor	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Vozy školy léčitelů	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Vysoká rada	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Shromáždění kupců	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Malá řemeslnická čtvrť	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Řemeslnická čtvrť	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Malá elfí hospoda	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Elfí hospoda	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Velká elfí hospoda	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Elfí knihovna	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	Mobilní Thaluiánská vesnice	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	Vozy léčitelské akademie	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	Vesnická vláda	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	Cech kupců	false
