key	text	tooltip
#Loc;1;text/idrinth_dilemmas__.cz.loc.tsv/idrinth_dilemmas__.cz.loc		
dilemmas_localised_description_idrinth_unlock_choice	Jedné noci se objeví zahalený cizinec a nabízí svou pomoc za malý poplatek. Přijmeš jeho pomoc?	false
dilemmas_localised_title_idrinth_unlock_choice	Cizinec	false
dilemmas_localised_description_idrinth_dilemma_high_elves	Přichází elfí posel, hledající jakéhosi Idrintha. Idrinth, kterého znáš, se mu zatím vyhýbal, možná bys mohl pomoci?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	Lesní elfí stopař přichází do tvého tábora. Prohlašuje, že potřebuje svého zakrváceného bratrance. Zatímco Idrinth rychle potvrzuje, že myslel jeho, odmítá se setkat.	false
dilemmas_localised_description_idrinth_dilemma_empire	Stará učenkyně přichází do tvého tábora. Nese knihy z minulosti a tvrdí, že pro tebe našla cenné znalosti.	false
dilemmas_localised_description_idrinth_dilemma_kislev	V noci, zatímco ledový vítr trápí tvé stráže, chytí kislevského mladíka, jak se snaží vplížit do tábora. Je mladý a zdánlivě neškodný, ale co s ním uděláš?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	Jedné noci najdeš jednoho ze svých služebníků vysátého z krve přímo před Idrinthovým stanem. Když vběhneš dovnitř, najdeš ho, jak sedí u stolu a čte starý svitek.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	Posel	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	Krvavé bratrstvo	false
dilemmas_localised_title_idrinth_dilemma_kislev	Vetřelec!	false
dilemmas_localised_title_idrinth_dilemma_empire	Učenkyně	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	Konec služebníka	false
dilemmas_localised_description_idrinth_dilemma_dwarves	V blízkosti byla spatřena skupina trpaslíků. Tvoji zvědové odposlouchali jejich příběhy o válkách s upíry. Jeden zmíněný elf podezřele připomíná Idrintha.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	Stará nevraživost	false
dilemmas_localised_description_idrinth_dilemma_weapon	Po posledním lovu za tebou Idrinth přichází s něčím, co vypadá jako prastará elfí zbraň. Ptá se tě o radu, komu ji zasvětit.	false
dilemmas_localised_title_idrinth_dilemma_weapon	Požehnaná zbraň	false
dilemmas_localised_description_idrinth_dilemma_armour	Po poslední bitvě za tebou Idrinth přichází s něčím, co vypadá jako prastarý elfí pancíř. Ptá se tě o radu, komu ho zasvětit.	false
dilemmas_localised_title_idrinth_dilemma_armour	Požehnaná zbroj	false
dilemmas_localised_description_idrinth_dilemma_talisman	Po ukončení denního pochodu za tebou Idrinth přichází s něčím, co vypadá jako prastarý elfí talisman. Ptá se tě o radu, komu ho zasvětit.	false
dilemmas_localised_title_idrinth_dilemma_talisman	Požehnaný talisman	false
dilemmas_localised_description_idrinth_mode_choice	Aktivuj přísnější věrnost lore, abys omezil verbovací kultury pro Rytíře-Učence Idrintha Thaluiho na Vysoké elfy, Lesní elfy, Kislev, Říši a Vampírská hrabata. Zvol volnější mód, aby byli na seznamu také Vampírské pobřeží, Legie Nagashe, Temní elfové, Cathay a Bretonnie.	false
dilemmas_localised_title_idrinth_mode_choice	Mód: Přísnější nebo volnější věrnost lore	false
dilemmas_localised_description_idrinth_dilemma_unlock_high_elves	Po přijetí tvé mince se cizinec představí jako bratr Asur jménem Idrinth. Když si sundá cestovní roucha, vidíš bitvami opotřebovanou zbroj mistra znalostí, odpovídající obouručný meč a kovový luk poblíž stoických očí naznačujících brutalitu, která teprve přijde.	false
dilemmas_localised_title_idrinth_dilemma_unlock_high_elves	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_wood_elves	Těším se na boj po boku lovců lesů, bratranče, prohlašuje Asur přátelským tónem, zatímco balí svou platbu a cestovní plášť. Možná nejsem tak skvělý střelec jako vy, ale nezpomalím vás. Lehce pobavený úsměv hraje kolem jeho bezkrevných rtů, než zmizí. Vydejme se na lov, o kterém se bude vyprávět ještě po staletí!	false
dilemmas_localised_title_idrinth_dilemma_unlock_wood_elves	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_kislev	Cizinec se svlékne poté, co byl zaplacen, a odhalí elfí tvář a elfí zbraně pod cestovním rouchem. Jmenuji se Idrinth, bojuji proti našim nepřátelům déle, než většina z vás žije. Rád bych cvičil s armádou a učil ji. Lehký úsměv hraje kolem jeho bezkrevných rtů, než zmizí v bezčasové tváři.	false
dilemmas_localised_title_idrinth_dilemma_unlock_kislev	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_empire	Bojoval a krvácel jsem s válečníky věřícími v Ulrika nebo Sigmara. Máme stejné nepřátele, prohlašuje, zatímco si sundává cestovní roucha, a těším se, že je s vámi zatlačíme zpět. Sdílím své znalosti pro zlepšení světa. Jeho oči se chladně dívají na modlící se lidi, než vrátí svou pozornost generálovi a jeho stráži.	false
dilemmas_localised_title_idrinth_dilemma_unlock_empire	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_vampire_counts	Cizinec shodí kapuci a odhalí elfí rysy. Nejsem přítelem zkázy, ale naši nepřátelé mě donutili. Schovává své mince a prohlašuje: Vrátit se k rodině po mnoha letech, když je v nebezpečí, je správné, bez ohledu na to, kdo ta rodina je. Nesouhlasíš?	false
dilemmas_localised_title_idrinth_dilemma_unlock_vampire_counts	Idrinth Thalui	false
dilemmas_localised_description_idrinth_chapels_choice	Chceš povolit Thaluiánské kaple pro svou kampaň? Nabízejí další obranu a možnosti ve srovnání s pouhým hrdinou.	false
dilemmas_localised_description_idrinth_levelMinimum_choice	Pro naverbování Idrintha Thaluiho, Rytíře-Učence, budeš potřebovat generála s minimální úrovní. Jak brzy chceš mít možnost ho naverbovat?	false
dilemmas_localised_title_idrinth_story_choice	Příběhové události	false
dilemmas_localised_description_idrinth_story_choice	Chceš povolit příběhové události, když Idrinth dosáhne konkrétních důležitých míst?	false
dilemmas_localised_title_idrinth_chapels_choice	Thaluiánské kaple	false
dilemmas_localised_title_idrinth_levelMinimum_choice	Hodnost proslulosti	false
dilemmas_localised_title_idrinth_story_dilemma_drakenhof	Drakenhof	false
dilemmas_localised_title_idrinth_story_dilemma_temple_of_khaine	Chrám Khaina	false
dilemmas_localised_title_idrinth_story_dilemma_shrine_of_khaine	Svatyně Khaina	false
dilemmas_localised_title_idrinth_story_dilemma_temple_of_asuryan	Chrám Asuryana	false
dilemmas_localised_title_idrinth_story_dilemma_temple_of_kurnous	Chrám Kurnouse	false
dilemmas_localised_title_idrinth_story_dilemma_shrine_of_loec	Svatyně Loece	false
dilemmas_localised_title_idrinth_story_dilemma_hel_fenn	Hel Fenn	false
dilemmas_localised_title_idrinth_story_dilemma_black_pyramid	Černá pyramida Nagashe	false
dilemmas_localised_title_idrinth_story_dilemma_vauls_anvil_ulthuan	Vaulova kovadlina v Ulthuanu	false
dilemmas_localised_title_idrinth_story_dilemma_vauls_anvil_naggaroth	Vaulova kovadlina v Naggarothu	false
dilemmas_localised_title_idrinth_story_dilemma_vauls_anvil_loren	Vaulova kovadlina v Athel Loren	false
dilemmas_localised_title_idrinth_story_dilemma_tower_of_hoeth	Věž Hoetha	false
dilemmas_localised_title_idrinth_story_dilemma_blood_keep	Krvavá pevnost	false
dilemmas_localised_title_idrinth_story_dilemma_oak_of_ages	Dub věků	false
dilemmas_localised_title_idrinth_story_dilemma_the_galleons_graveyard	Hřbitov galeon	false
dilemmas_localised_title_idrinth_story_dilemma_sartosa	Sartosa	false
dilemmas_localised_title_idrinth_story_dilemma_lahmia	Lahmia	false
dilemmas_localised_title_idrinth_story_dilemma_ghrond	Ghrond	false
dilemmas_localised_description_idrinth_story_dilemma_drakenhof	Černé věže hradu Drakenhof prorážejí věčnou temnotu Sylvánie. Idrinth stojí nehybně před jeho branami, vzpomínky na Válku s upíry se nechtěně vracejí. "Krvácel jsem zde," šeptá, "a znovu povstal. Von Carsteinové mě naučili, čím jsem se stal—ať už jsem se to chtěl naučit nebo ne." Jeho ruka spočívá na jílci meče. Vstoupí jako pokrevní příbuzný, nebo jako připomínka toho, co jejich ambice stály svět?	false
dilemmas_localised_description_idrinth_story_dilemma_temple_of_khaine	Chrám Khaina se tyčí z pustiny Naggarothu, jeho oltáře jsou kluzké od čerstvých obětí. Idrinth cítí pohled Vražedného boha na sobě—ne s nenávistí, ale s hladovým poznáním. "Znáš počet mého meče," mumlá do krvavé tmy. "Každou chaosovou zrůdu, kterou jsem ukončil, každého démona, kterého jsem vyhnal. Těší tě to, Krvavě rukooký? Nebo jen čekáš na den, kdy ho obrátím proti nevinným?"	false
dilemmas_localised_description_idrinth_story_dilemma_shrine_of_khaine	Meč Khaina pulzuje zlověstným příslibem, jeho šepoty pronikají i Idrinthovou nemrtvou nehybností. Po dlouhou chvíli jen zírá na Ovdovělého. "Aenarion tě zvedl, aby zachránil náš lid, a navždy proklel svou linii," říká tiše. "Já jsem byl již proklet, když jsem přísahal svou přísahu pomsty. Učinil bys mě horším, nebo pouze... efektivnějším?" Jeho prsty se škubnou, ale nedosáhnou.	false
dilemmas_localised_description_idrinth_story_dilemma_temple_of_asuryan	Posvátné plameny Asuryanova chrámu hoří věčně a Idrinth nepřistupuje dál než na vnější nádvoří. "Kráčel jsem těmito síněmi jako živý elf," říká, jeho hlas dutý. "Modlil jsem se zde před pochodem do války proti nemrtvým. Nyní jsem tím, proti čemu jsem bojoval." Sleduje tančící plameny. "Stále mě slyšíš, Pane Fénixe? Nebo mé prokletí činí z mých modliteb výsměch?"	false
dilemmas_localised_description_idrinth_story_dilemma_temple_of_kurnous	Prastaré stromy lemují loveckou svatyni a vzduch je plný vůně divokých míst. Idrinth se zhluboka nadechne—starý zvyk z doby, kdy dech znamenal život. "Stále lovím, Pane divočiny," oslovuje rohaté kameny. "Ačkoli již nejsem součástí přírodního cyklu. Neberu kořist pro obživu těla, pouze pro pomstu ducha. Má věčný lov místo pro jednoho, jako jsem já?"	false
dilemmas_localised_description_idrinth_story_dilemma_shrine_of_loec	Svatyně Loece se posouvá v koutku zraku, nikdy není zcela tam, kde se zdá. Idrinth si dovolí vzácný, chladný úsměv. "Bůh šprýmař. Naučil jsem se tvá umění, po svém—stínová magie ke mně přišla snadněji po smrti než kdy za života." Provede výsměšnou poloviční poklonu. "Je to tvůj vtip, Smějící se? Že tančím lépe teď, když jsou mé nohy studené?"	false
dilemmas_localised_description_idrinth_story_dilemma_hel_fenn	Bažiny Hel Fenn se před ním rozprostírají a Idrinthův výraz je nečitelný. "Tady to skončilo. A začalo." Jeho hlas nenese žádné emoce. "Pamatuji si bláto. Krev. Mannfredovu rozpadající se armádu kolem nás. Pamatuji si, jak jsem si myslel, že jsme vyhráli." Dlouhá pauza. "Nepamatuji si umírání. Pouze probuzení, tři noci poté, hladový po něčem, co jsem nedokázal pojmenovat."	false
dilemmas_localised_description_idrinth_story_dilemma_black_pyramid	Nagashův monument se tyčí proti pouštní obloze, vyzařuje moc, která způsobuje, že se Idrinthovo prokletí svíjí uvnitř něj. "Otec všeho našeho zatracení," říká, ani uctivě, ani pohrdavě—pouze konstatuje fakt. "Každý upír existuje, protože jsi sahal příliš daleko, Velký nekromant. Mé prokletí plyne z tvé ambice." Studuje prastaré kameny. "Zajímalo by mě—schvaluješ, jak používám tvůj dar? Obracím smrt proti samotnému Chaosu."	false
