key	text	tooltip
#Loc;1;text/idrinth_pooled_resources__.cz.loc.tsv/idrinth_pooled_resources__.cz.loc		
pooled_resources_description_idrinth_khaine	Postavení u Khaina	false
pooled_resources_display_name_idrinth_khaine	Khainova přízeň	false
pooled_resources_negative_factors_display_name_idrinth_khaine	Ztraceno	false
pooled_resources_positive_factors_display_name_idrinth_khaine	Získáno	false
pooled_resources_description_idrinth_kurnous	Postavení u Kurnouse	false
pooled_resources_display_name_idrinth_kurnous	Kurnousova přízeň	false
pooled_resources_negative_factors_display_name_idrinth_kurnous	Ztraceno	false
pooled_resources_positive_factors_display_name_idrinth_kurnous	Získáno	false
pooled_resources_description_idrinth_asuryan	Postavení u Asuryana	false
pooled_resources_display_name_idrinth_asuryan	Asuryanova přízeň	false
pooled_resources_negative_factors_display_name_idrinth_asuryan	Ztraceno	false
pooled_resources_positive_factors_display_name_idrinth_asuryan	Získáno	false
