key	text	tooltip
#Loc;1;text/db/idrinth__.loc		
agent_culture_details_description_text_99999990	Altos Elfos que foram transformados em vampiros.	false
agent_culture_details_onscreen_name_99999990	Idrinth Thalui	false
agent_culture_details_description_text_99999991	Altos Elfos que foram transformados em vampiros.	false
agent_culture_details_onscreen_name_99999991	Idrinth Thalui	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthchampion	Idrinth Thalui foi transformado contra sua vontade e usa seus novos poderes para caçar os servos do caos.	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthgeneral	Idrinth Thalui foi transformado contra sua vontade e usa seus novos poderes para caçar os servos do caos.	false
ancillaries_colour_text_idrinth_anc_talisman_stone_of_dried_blood	Um talismã abençoado por Khaine, o Deus de Mãos Sangrentas. Poucos ganharam favor suficiente para empunhar uma ferramenta como esta em seu nome. O sangue seco pulsa com poder ancestral, sussurrando promessas de violência ao seu portador.	false
ancillaries_explanation_text_idrinth_anc_talisman_stone_of_dried_blood	Experiência de combate comprovada.	false
ancillaries_onscreen_name_idrinth_anc_talisman_stone_of_dried_blood	Talismã de Sangue Seco	false
ancillaries_colour_text_idrinth_anc_talisman_talisman_of_souls	Um talismã abençoado por Asuryan para manter vivo o conhecimento das gerações anteriores. Quando silencioso, você pode ouvir os sussurros de antigos sábios élficos oferecendo sabedoria de além do véu.	false
ancillaries_explanation_text_idrinth_anc_talisman_talisman_of_souls	Experiência de combate comprovada.	false
ancillaries_onscreen_name_idrinth_anc_talisman_talisman_of_souls	Talismã das Almas	false
ancillaries_colour_text_idrinth_anc_talisman_forest_berry_wine	Uma espécie de talismã abençoado por Kurnous, dando ao proprietário um dos melhores vinhos de frutas silvestres do mundo inteiro. Um gole conecta o bebedor à natureza selvagem, aguçando os sentidos e acelerando os reflexos como se a própria floresta guiasse cada movimento.	false
ancillaries_explanation_text_idrinth_anc_talisman_forest_berry_wine	Experiência de combate comprovada.	false
ancillaries_onscreen_name_idrinth_anc_talisman_forest_berry_wine	Vinho de Frutas da Floresta	false
ancillaries_colour_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	Uma arma abençoada por Kurnous para transformar seu portador em um dos maiores caçadores que o mundo conhece. Aqueles marcados por suas flechas sentem um medo primitivo, como se fossem caçados pela própria natureza e não apenas por um arqueiro.	false
ancillaries_explanation_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	Experiência de combate comprovada.	false
ancillaries_onscreen_name_idrinth_anc_weapon_kurnous_blessed_hunting_bow	Arco de Caça Abençoado	false
ancillaries_colour_text_idrinth_anc_armour_khaines_visage	Este elmo revela uma máscara facial que é uma mistura de terror, sede de sangue e puro desejo de violência. O semblante transforma seu usuário, despertando uma fúria primitiva que os inimigos podem sentir de longe.	false
ancillaries_explanation_text_idrinth_anc_armour_khaines_visage	Experiência de combate comprovada.	false
ancillaries_onscreen_name_idrinth_anc_armour_khaines_visage	Semblante de Khaine	false
ancillaries_colour_text_idrinth_anc_weapon_khaines_thirsting_sword	Uma espada sedenta de sangue tanto quanto seu mestre. A cada golpe, ela anseia por mais, ficando mais forte com cada vida que ceifa. O fio da lâmina nunca embota quando molhado com sangue fresco.	false
ancillaries_explanation_text_idrinth_anc_weapon_khaines_thirsting_sword	Experiência de combate comprovada.	false
ancillaries_onscreen_name_idrinth_anc_weapon_khaines_thirsting_sword	Espada Sedenta de Khaine	false
ancillaries_colour_text_idrinth_anc_weapon_asuryans_perfection_sword	Uma espada tão perfeita quanto seu portador aspira ser. Forjada na chama eterna do próprio Asuryan, esta espada de estilo alto élfico traz harmonia ao combate, permitindo que seu mestre lute com precisão e resistência incomparáveis.	false
ancillaries_explanation_text_idrinth_anc_weapon_asuryans_perfection_sword	Experiência de combate comprovada.	false
ancillaries_onscreen_name_idrinth_anc_weapon_asuryans_perfection_sword	Espada da Perfeição de Asuryan	false
ancillaries_colour_text_idrinth_anc_armour_kurnous_forest_cloak	Uma armadura criada por Kurnous, leve e quase imperceptível. Este manto verde escuro carrega a essência da floresta profunda, ocultando seu usuário dos olhos inimigos enquanto aguça a consciência do ambiente ao redor.	false
ancillaries_explanation_text_idrinth_anc_armour_kurnous_forest_cloak	Experiência de combate comprovada.	false
ancillaries_onscreen_name_idrinth_anc_armour_kurnous_forest_cloak	Manto Florestal de Kurnous	false
ancillaries_colour_text_idrinth_anc_armour_asuryans_destiny	Esta armadura protege seu usuário enquanto ele serve a raça élfica, prolongando sua vida a níveis além de qualquer expectativa. Os encantamentos tecidos em cada placa rejeitam a corrupção da não-morte, permitindo que o usuário caminhe entre ambos os mundos.	false
ancillaries_explanation_text_idrinth_anc_armour_asuryans_destiny	Experiência de combate comprovada.	false
ancillaries_onscreen_name_idrinth_anc_armour_asuryans_destiny	Armadura do Destino de Asuryan	false
ancillary_sets_name_anc_set_exclusive_idrinth_khaine	Bênção de Khaine	false
ancillary_sets_name_anc_set_exclusive_idrinth_kurnous	Bênção de Kurnous	false
ancillary_sets_name_anc_set_exclusive_idrinth_asuryan	Bênção de Asuryan	false
ancillary_sets_description_anc_set_exclusive_idrinth_khaine	Os itens abençoados de Khaine forjam você em uma fonte de morte e destruição.	false
ancillary_sets_description_anc_set_exclusive_idrinth_kurnous	Os itens abençoados de Kurnous transformam você em um dos caçadores mais perigosos vivos.	false
ancillary_sets_description_anc_set_exclusive_idrinth_asuryan	Os itens abençoados de Asuryan definem o defensor dos indefesos.	false
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	Capela da Comunidade Élfica	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	Uma capela para uma pequena comunidade de exilados élficos, aventureiros e vagabundos.	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	Capela da Comunidade Élfica	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_beasts	Veterinária Élfica	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_diplomacy	Alcance Élfico	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_altar	Artesãos Élficos	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde	Acampamento Élfico	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Curandeiros Élficos	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendente Élfico	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_trader	Comerciante Élfico	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters	Bairro dos Artesãos	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern	Taverna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library	Biblioteca Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Capela Thaluiana	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Capela Thaluiana de Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Capela Thaluiana de Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Capela Thaluiana de Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Grande Capela Thaluiana de Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Grande Capela Thaluiana de Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Grande Capela Thaluiana de Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Cabana Veterinária	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Casa Veterinária	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Mansão Veterinária	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Pequeno Alcance	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Alcance	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Artesãos de Altar	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Pequeno Acampamento Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Carroça de Curandeiro	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Intendente	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Comerciante	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Acampamento Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Carroça do Mestre Curandeiro	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Conselho do Acampamento	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Mercador	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Grande Acampamento Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Carroça Escola de Curandeiros	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Alto Conselho	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Assembleia de Mercadores	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Pequeno Bairro dos Artesãos	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Bairro dos Artesãos	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Pequena Taverna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Taverna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Grande Taverna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Biblioteca Élfica	false
