key	text	tooltip
#Loc;1;text/db/idrinth__.loc		
agent_culture_details_description_text_99999990	被转化为吸血鬼的高等精灵。	false
agent_culture_details_onscreen_name_99999990	Idrinth Thalui	false
agent_culture_details_description_text_99999991	被转化为吸血鬼的高等精灵。	false
agent_culture_details_onscreen_name_99999991	Idrinth Thalui	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthchampion	Idrinth Thalui 违背自己的意愿被转化，现在利用新获得的力量猎杀混沌的仆从。	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthgeneral	Idrinth Thalui 违背自己的意愿被转化，现在利用新获得的力量猎杀混沌的仆从。	false
ancillaries_colour_text_idrinth_anc_talisman_stone_of_dried_blood	一枚受血手神凯恩祝福的护符。很少有人获得足够的恩宠，能以他的名义挥舞这样的工具。干涸的鲜血脉动着古老的力量，向佩戴者低语暴力的承诺。	false
ancillaries_explanation_text_idrinth_anc_talisman_stone_of_dried_blood	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_talisman_stone_of_dried_blood	干血护符	false
ancillaries_colour_text_idrinth_anc_talisman_talisman_of_souls	一枚受阿苏里安祝福的护符，用于保存前代的知识。在寂静时，你能听到古代精灵贤者从帷幕之外传来的智慧低语。	false
ancillaries_explanation_text_idrinth_anc_talisman_talisman_of_souls	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_talisman_talisman_of_souls	灵魂护符	false
ancillaries_colour_text_idrinth_anc_talisman_forest_berry_wine	一种受库尔诺斯祝福的护符，赐予持有者世界上最好的浆果酒。一口便能让饮者与荒野相连，使感官敏锐、反应迅速，仿佛森林本身在引导每一个动作。	false
ancillaries_explanation_text_idrinth_anc_talisman_forest_berry_wine	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_talisman_forest_berry_wine	森林浆果酒	false
ancillaries_colour_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	一件受库尔诺斯祝福的武器，使其挥舞者成为世界上首屈一指的猎人。被其箭矢标记的人会感到原始的恐惧，仿佛被自然本身而非仅仅是弓箭手所追猎。	false
ancillaries_explanation_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_weapon_kurnous_blessed_hunting_bow	祝福的猎弓	false
ancillaries_colour_text_idrinth_anc_armour_khaines_visage	这顶头盔展示出一副混合着恐惧、嗜血和纯粹暴力欲望的面具。这副面容改变了佩戴者，唤醒一种敌人远远就能感知到的原始狂怒。	false
ancillaries_explanation_text_idrinth_anc_armour_khaines_visage	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_armour_khaines_visage	凯恩的面容	false
ancillaries_colour_text_idrinth_anc_weapon_khaines_thirsting_sword	一把与其主人一样渴望鲜血的剑。每一击都让它更加饥渴，每夺取一条生命就变得更强。当沾染鲜血时，剑刃永不钝化。	false
ancillaries_explanation_text_idrinth_anc_weapon_khaines_thirsting_sword	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_weapon_khaines_thirsting_sword	凯恩的渴血之剑	false
