key	text	tooltip
#Loc;1;text/db/idrinth__de.loc	
dilemmas_localised_description_idrinth_unlock_choice	Ein vermummter Fremder erscheint eines Nachts und bietet seine Hilfe für ein kleines Entgelt an. Nehmt Ihr die Hilfe an?	false
dilemmas_localised_title_idrinth_unlock_choice	Der Fremde	false
dilemmas_localised_description_idrinth_dilemma_high_elves	Ein elfischer Bote trifft ein und suchet nach einem Idrinth. Der Idrinth, den Ihr kennt, hat ihn bislang gemieden, vielleicht könntet Ihr helfen?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	Eine Waldelfenläuferin erreicht Euer Lager. Sie gibt an, ihren blutgetränkten Vetter zu benötigen. Während Idrinth rasch bestätigt, dass er gemeint sei, weigert er sich zu erscheinen.	false
dilemmas_localised_description_idrinth_dilemma_empire	Eine alte Gelehrte nähert sich Eurem Lager. Mit Büchern vergangener Zeiten beladen, behauptet sie, wertvolles Wissen für Euch gefunden zu haben.	false
dilemmas_localised_description_idrinth_dilemma_kislev	Des Nachts, während ein eisiger Wind Eure Wachen peinigt, fangen sie einen Kisleviten, der ins Lager zu schleichen versuchte. Er ist jung und scheinbar harmlos, doch was tut Ihr mit ihm?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	Eines Nachts findet Ihr einen Eurer Diener blutleer direkt vor Idrinths Zelt. Ihr stürzt hinein und findet ihn an seinem Tisch sitzend, eine alte Schriftrolle lesend.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	Der Bote	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	Blutsverwandte	false
dilemmas_localised_title_idrinth_dilemma_kislev	Eindringling!	false
dilemmas_localised_title_idrinth_dilemma_empire	Die Gelehrte	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	Des Dieners Ende	false
dilemmas_localised_description_idrinth_dilemma_dwarves	Eine Gruppe Zwerge ward in der Nähe gesichtet. Eure Kundschafter haben ihre Geschichten über die Vampirkriege belauscht. Ein erwähnter Elf klingt verdächtig nach Idrinth.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	Eine alte Fehde	false
dilemmas_localised_description_idrinth_dilemma_weapon	Nach der jüngsten Jagd tritt Idrinth mit etwas an Euch heran, das wie eine uralte elfische Waffe aussieht. Er bittet Euch um Rat, wem sie geweiht werden soll.	false
dilemmas_localised_title_idrinth_dilemma_weapon	Eine gesegnete Waffe	false
dilemmas_localised_description_idrinth_dilemma_armour	Nach der jüngsten Schlacht tritt Idrinth mit etwas an Euch heran, das wie eine uralte elfische Rüstung aussieht. Er bittet Euch um Rat, wem sie geweiht werden soll.	false
dilemmas_localised_title_idrinth_dilemma_armour	Eine gesegnete Rüstung	false
dilemmas_localised_description_idrinth_dilemma_talisman	Nach der Tagesreise tritt Idrinth mit etwas an Euch heran, das wie ein uralter elfischer Talisman aussieht. Er bittet Euch um Rat, wem er geweiht werden soll.	false
dilemmas_localised_title_idrinth_dilemma_talisman	Ein gesegneter Talisman	false
dilemmas_localised_description_idrinth_mode_choice	Aktiviert strengere Loretreue, um die rekrutierenden Kulturen für Rittergelehrten Idrinth Thalui auf Hochelfen, Waldelfen, Kislev, das Imperium und Vampirfürsten zu beschränken. Wählt den lockeren Modus, um auch Vampirküste, Legionen von Nagash, Dunkelelfen, Cathay und Bretonnien in der Liste zu haben.	false
dilemmas_localised_title_idrinth_mode_choice	Modus: Strengere oder lockerere Loretreue	false
dilemmas_localised_description_idrinth_dilemma_unlock_high_elves	Nachdem er Euer Entgelt angenommen hat, stellt sich der Fremde als Asur namens Idrinth vor. Unter seinen Reiseroben seht Ihr die kampferprobte Rüstung eines Lehrmeisters, ein passendes Großschwert und einen Metallbogen, nahe stoischer Augen, die von noch zu begehenden Grausamkeiten künden.	false
dilemmas_localised_title_idrinth_dilemma_unlock_high_elves	Idrinth Thalui	false
