key	text	tooltip
#Loc;1;text/db/idrinth__fr.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	A gathering of rogues, exiles and adventurers of elven kind gathering around a chapel to their deities.	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	Chappelle Communautaire Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	Vétérinaires Elfiques	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	Ambassade Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	Artisans Elfiques	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	Vétérinaires Elfiques	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	Ambassade Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	Artisans Elfiques	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	Campement Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	Guérisseurs Elfiques	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendant Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	Marchands Elfiques	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	Campement Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Guérisseurs Elfiques	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendant Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	Marchands Elfiques	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	Elven Artisan Quarters	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	Taverne Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	Bibliothèque Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	Elven Artisan Quarters	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	Taverne Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	Bibliothèque Elfique	false
