key	text	tooltip
#Loc;1;text/db/idrinth__.loc		
agent_culture_details_description_text_99999990	뱀파이어로 변한 하이 엘프들.	false
agent_culture_details_onscreen_name_99999990	이드린스 탈루이	false
agent_culture_details_description_text_99999991	뱀파이어로 변한 하이 엘프들.	false
agent_culture_details_onscreen_name_99999991	이드린스 탈루이	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthchampion	이드린스 탈루이는 자신의 의지와 상관없이 변환되었으며, 새로 얻은 힘을 혼돈의 하수인들을 사냥하는 데 사용합니다.	false
agent_subtypes_description_text_override_idrinth_hev_high_elf_vampires_idrinthgeneral	이드린스 탈루이는 자신의 의지와 상관없이 변환되었으며, 새로 얻은 힘을 혼돈의 하수인들을 사냥하는 데 사용합니다.	false
ancillaries_colour_text_idrinth_anc_talisman_stone_of_dried_blood	피의 신 카인의 축복을 받은 부적. 그의 이름으로 이런 도구를 휘두를 만큼 충분한 은총을 얻은 자는 거의 없습니다. 마른 피는 고대의 힘으로 맥동하며, 소유자에게 폭력의 약속을 속삭입니다.	false
ancillaries_explanation_text_idrinth_anc_talisman_stone_of_dried_blood	입증된 전투 경험.	false
ancillaries_onscreen_name_idrinth_anc_talisman_stone_of_dried_blood	마른 피의 부적	false
ancillaries_colour_text_idrinth_anc_talisman_talisman_of_souls	이전 세대의 지식을 살아있게 하기 위해 아수리안이 축복한 부적. 조용할 때, 베일 너머에서 지혜를 제공하는 고대 엘프 현자들의 속삭임을 들을 수 있습니다.	false
ancillaries_explanation_text_idrinth_anc_talisman_talisman_of_souls	입증된 전투 경험.	false
ancillaries_onscreen_name_idrinth_anc_talisman_talisman_of_souls	영혼의 부적	false
ancillaries_colour_text_idrinth_anc_talisman_forest_berry_wine	쿠르노스의 축복을 받은 일종의 부적으로, 소유자에게 세상에서 가장 좋은 베리 와인을 줍니다. 한 모금 마시면 마시는 자와 야생이 연결되어 감각이 예리해지고 반사 신경이 빨라져 마치 숲 자체가 모든 움직임을 인도하는 것 같습니다.	false
ancillaries_explanation_text_idrinth_anc_talisman_forest_berry_wine	입증된 전투 경험.	false
ancillaries_onscreen_name_idrinth_anc_talisman_forest_berry_wine	숲의 베리 와인	false
ancillaries_colour_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	쿠르노스의 축복을 받아 사용자를 세계가 아는 최고의 사냥꾼 중 하나로 만드는 무기. 그 화살에 맞은 자들은 단순한 궁수가 아닌 자연 자체에 사냥당하는 듯한 원초적 공포를 느낍니다.	false
ancillaries_explanation_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	입증된 전투 경험.	false
ancillaries_onscreen_name_idrinth_anc_weapon_kurnous_blessed_hunting_bow	축복받은 사냥 활	false
ancillaries_colour_text_idrinth_anc_armour_khaines_visage	이 투구는 공포, 피에 대한 갈망, 순수한 폭력 욕구가 혼합된 가면을 드러냅니다. 이 모습은 착용자를 변화시켜 적들이 멀리서도 감지할 수 있는 원초적 분노를 일깨웁니다.	false
ancillaries_explanation_text_idrinth_anc_armour_khaines_visage	입증된 전투 경험.	false
ancillaries_onscreen_name_idrinth_anc_armour_khaines_visage	카인의 모습	false
ancillaries_colour_text_idrinth_anc_weapon_khaines_thirsting_sword	주인만큼이나 피에 목마른 검. 매 타격마다 더 많이 갈망하며, 빼앗은 생명 하나하나로 더 강해집니다. 칼날은 신선한 피로 적셔지면 결코 무뎌지지 않습니다.	false
ancillaries_explanation_text_idrinth_anc_weapon_khaines_thirsting_sword	입증된 전투 경험.	false
ancillaries_onscreen_name_idrinth_anc_weapon_khaines_thirsting_sword	카인의 갈증 검	false
ancillaries_colour_text_idrinth_anc_weapon_asuryans_perfection_sword	사용자가 되고자 하는 만큼 완벽한 검. 아수리안의 영원한 불꽃에서 단조된 이 하이 엘프 스타일 검은 전투에 조화를 가져다주어 주인이 비할 데 없는 정밀함과 지구력으로 싸울 수 있게 합니다.	false
ancillaries_explanation_text_idrinth_anc_weapon_asuryans_perfection_sword	입증된 전투 경험.	false
ancillaries_onscreen_name_idrinth_anc_weapon_asuryans_perfection_sword	아수리안의 완벽검	false
ancillaries_colour_text_idrinth_anc_armour_kurnous_forest_cloak	쿠르노스 디자인의 갑옷으로, 가볍고 거의 눈에 띄지 않습니다. 이 짙은 녹색 망토는 깊은 숲의 본질을 담아 적의 눈으로부터 착용자를 숨기면서 주변에 대한 인식을 높입니다.	false
ancillaries_explanation_text_idrinth_anc_armour_kurnous_forest_cloak	입증된 전투 경험.	false
ancillaries_onscreen_name_idrinth_anc_armour_kurnous_forest_cloak	쿠르노스의 숲 망토	false
ancillaries_colour_text_idrinth_anc_armour_asuryans_destiny	이 갑옷은 착용자가 엘프 종족을 섬기는 동안 보호하여, 그의 수명을 예상 밖의 수준으로 연장합니다. 각 판금에 엮인 마법은 언데드의 부패를 거부하여 착용자가 두 세계를 걸을 수 있게 합니다.	false
ancillaries_explanation_text_idrinth_anc_armour_asuryans_destiny	입증된 전투 경험.	false
ancillaries_onscreen_name_idrinth_anc_armour_asuryans_destiny	아수리안의 운명의 갑옷	false
ancillary_sets_name_anc_set_exclusive_idrinth_khaine	카인의 축복	false
ancillary_sets_name_anc_set_exclusive_idrinth_kurnous	쿠르노스의 축복	false
ancillary_sets_name_anc_set_exclusive_idrinth_asuryan	아수리안의 축복	false
ancillary_sets_description_anc_set_exclusive_idrinth_khaine	카인의 축복받은 아이템들은 당신을 죽음과 파괴의 작동 원천으로 만듭니다.	false
ancillary_sets_description_anc_set_exclusive_idrinth_kurnous	쿠르노스의 축복받은 아이템들은 당신을 살아있는 가장 위험한 사냥꾼 중 하나로 만듭니다.	false
ancillary_sets_description_anc_set_exclusive_idrinth_asuryan	아수리안의 축복받은 아이템들은 무력한 자들의 수호자를 정의합니다.	false
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	엘프 공동체 예배당	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	엘프 망명자, 모험가, 방랑자들의 작은 공동체를 위한 예배당.	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	엘프 공동체 예배당	false
