key	text	tooltip
#Loc;1;text/db/idrinth__ru.loc	
dilemmas_localised_description_idrinth_unlock_choice	Однажды ночью появляется незнакомец в капюшоне, предлагающий свою помощь за небольшую плату. Вы примете помощь?	false
dilemmas_localised_title_idrinth_unlock_choice	Незнакомец	false
dilemmas_localised_description_idrinth_dilemma_high_elves	Прибывает эльфийский посланник, ищущий некоего Идринта. Идринт, которого вы знаете, до сих пор избегал его. Может, вы могли бы помочь?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	Лесной эльф-следопыт прибывает в ваш лагерь, заявляя, что ищет своего окровавленного кузена. Хотя Идринт быстро подтверждает, что речь о нём, он отказывается встречаться.	false
dilemmas_localised_description_idrinth_dilemma_empire	Старая учёная приближается к вашему лагерю. Неся книги о прошлом, она утверждает, что нашла ценные знания для вас.	false
dilemmas_localised_description_idrinth_dilemma_kislev	Ночью, когда ледяной ветер терзает ваших стражей, они ловят кислевита, пытающегося проникнуть в лагерь. Он молод и с виду безобиден, но что вы с ним сделаете?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	Однажды ночью вы находите одного из своих слуг, обескровленного прямо у палатки Идринта. Ворвавшись внутрь, вы обнаруживаете его читающим старый свиток, сидящим за столом.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	Посланник	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	Кровные Кузены	false
dilemmas_localised_title_idrinth_dilemma_kislev	Нарушитель!	false
dilemmas_localised_title_idrinth_dilemma_empire	Учёная	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	Конец Слуги	false
dilemmas_localised_description_idrinth_dilemma_dwarves	Группу гномов заметили поблизости. Ваши разведчики подслушали их рассказы о вампирских войнах. Один упомянутый эльф подозрительно похож на Идринта.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	Старая Вражда	false
dilemmas_localised_description_idrinth_dilemma_weapon	После последней охоты Идринт подходит к вам с чем-то похожим на древнее эльфийское оружие. Он просит вашего совета, кому его посвятить.	false
dilemmas_localised_title_idrinth_dilemma_weapon	Благословенное Оружие	false
dilemmas_localised_description_idrinth_dilemma_armour	После последней битвы Идринт подходит к вам с чем-то похожим на древние эльфийские доспехи. Он просит вашего совета, кому их посвятить.	false
dilemmas_localised_title_idrinth_dilemma_armour	Благословенные Доспехи	false
dilemmas_localised_description_idrinth_dilemma_talisman	После завершения дневного перехода Идринт подходит к вам с чем-то похожим на древний эльфийский талисман. Он просит вашего совета, кому его посвятить.	false
dilemmas_localised_title_idrinth_dilemma_talisman	Благословенный Талисман	false
