key	text	tooltip
#Loc;1;text/db/idrinth__zh.loc	
dilemmas_localised_description_idrinth_unlock_choice	一位身穿長袍的陌生人在某個夜晚出現，願意以小額費用提供他的幫助。你接受這份幫助嗎？	false
dilemmas_localised_title_idrinth_unlock_choice	陌生人	false
dilemmas_localised_description_idrinth_dilemma_high_elves	一位精靈使者到來，尋找一位叫伊德林斯的人。你認識的伊德林斯到目前為止一直躲避他，也許你可以幫忙？	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	一位森林精靈遊俠來到你的營地。聲稱她需要找到她那沾滿鮮血的表親。雖然伊德林斯很快確認他就是被找的人，但他拒絕見面。	false
dilemmas_localised_description_idrinth_dilemma_empire	一位老學者來到你的營地。帶著過去的書籍，她聲稱為你找到了有價值的知識。	false
dilemmas_localised_description_idrinth_dilemma_kislev	夜裡，當冰冷的風折磨著你的守衛時，他們抓住了一個試圖潛入營地的基斯列夫人。他年輕且看起來無害，但你該如何處置他？	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	一天夜裡，你發現你的一名僕人被抽乾血液，倒在伊德林斯帳篷外面。你衝進去，發現他坐在桌旁閱讀一卷古老的卷軸。	false
dilemmas_localised_title_idrinth_dilemma_high_elves	使者	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	血親	false
dilemmas_localised_title_idrinth_dilemma_kislev	入侵者！	false
dilemmas_localised_title_idrinth_dilemma_empire	學者	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	僕人之死	false
dilemmas_localised_description_idrinth_dilemma_dwarves	附近發現了一群矮人。你的斥候偷聽到他們講述吸血鬼戰爭的故事。其中提到的一位精靈聽起來很像伊德林斯。	false
dilemmas_localised_title_idrinth_dilemma_dwarves	舊仇	false
dilemmas_localised_description_idrinth_dilemma_weapon	最近一次狩獵後，伊德林斯帶著一件看起來像是古代精靈武器的東西來找你。他請你建議該將它獻給哪位神祇。	false
dilemmas_localised_title_idrinth_dilemma_weapon	受祝福的武器	false
dilemmas_localised_description_idrinth_dilemma_armour	最近一場戰鬥後，伊德林斯帶著一件看起來像是古代精靈盔甲的東西來找你。他請你建議該將它獻給哪位神祇。	false
dilemmas_localised_title_idrinth_dilemma_armour	受祝福的盔甲	false
dilemmas_localised_description_idrinth_dilemma_talisman	在結束一天的旅程後，伊德林斯帶著一件看起來像是古代精靈護符的東西來找你。他請你建議該將它獻給哪位神祇。	false
dilemmas_localised_title_idrinth_dilemma_talisman	受祝福的護符	false
