key	text	tooltip
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	Elven Community Chapel	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	A Chapel for a small community of elven exiles, adventurers and vagabonds.	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	Elven Community Chapel	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_beasts	Elven Veterinary	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_diplomacy	Elven Outreach	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_altar	Elven Crafters	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde	Elven Camp	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Elven Healers	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Elven Quartermaster	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_trader	Elven Trader	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters	Artisan Quarters	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern	Elven Tavern	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library	Elven Library	false
