key	text	tooltip
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Thaluian Chapel	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Thaluian Chapel of Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Thaluian Chapel of Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Thaluian Chapel of Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Thaluian Grand Chapel of Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Thaluian Grand Chapel of Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Thaluian Grand Chapel of Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Veterinary Hut	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Veterinary House	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Veterinary Mansion	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Minor Outreach	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Outreach	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Altar crafters	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Small Thaluian Camp	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Healer Wagon	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Quartermaster	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Trader	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Thaluian Camp	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Master Healer Wagon	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Council of the Camp	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Merchant	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Large Thaluian Camp	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Healer School Wagon	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	High Council	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Merchant Assembly	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Small Artisan Quarters	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Artisan Quarters	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Small Elven Tavern	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Elven Tavern	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Large Elven Tavern	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Elven Library	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	Mobile Thaluian Village	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	Healer Academy Wagons	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	Village Government	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	Merchant Guild	false
