key	text	tooltip
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	A gathering of rogues, exiles and adventurers of elven kind gathering around a chapel to their deities.	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	Elven Community Chapel	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	Elven Veterinary	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	Elven Outreach	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	Elven Crafters	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	Elven Veterinary	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	Elven Outreach	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	Elven Crafters	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	Elven Camp	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	Elven Healers	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	Elven Quartermaster	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	Elven Trader	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	Elven Camp	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Elven Healers	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Elven Quartermaster	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	Elven Trader	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	Elven Artisan Quarters	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	Elven Tavern	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	Elven Library	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	Elven Artisan Quarters	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	Elven Tavern	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	Elven Library	false
