"key"	"text"	"tooltip"
"effect_bundles_localised_description_idrinth_dilemma_empire_FIRST"	"The scolar was very interested in old wars. The discussion with Idrinth guided her to discover tactics that are also useful now."	"false"
"effect_bundles_localised_description_idrinth_dilemma_empire_SECOND"	"The scolar and Idrinth discussed magic, finding some small improvements for your mages to implement."	"false"
"effect_bundles_localised_description_idrinth_dilemma_empire_THIRD"	"You asked the scolar about Idrinth, learning about his long war against chaos."	"false"
"effect_bundles_localised_description_idrinth_dilemma_high_elves_FIRST"	"You chased the messenger away, making Idrinth's life easier."	"false"
"effect_bundles_localised_description_idrinth_dilemma_high_elves_SECOND"	"You confronted Idrinth about his past, leaving him in a darker mood."	"false"
"effect_bundles_localised_description_idrinth_dilemma_high_elves_THIRD"	"Idrinth met the messenger from his old people, learning about his families current goals. He seems of lighter mood now."	"false"
"effect_bundles_localised_description_idrinth_dilemma_kislev_FIRST"	"You handed the intruder to Idrinth for questioning."	"false"
"effect_bundles_localised_description_idrinth_dilemma_kislev_SECOND"	"You killed the intruder, angering the motherland, but preventing worse."	"false"
"effect_bundles_localised_description_idrinth_dilemma_kislev_THIRD"	"The intruder joined you, making Idrinth deeply unconftable."	"false"
"effect_bundles_localised_description_idrinth_dilemma_vampire_counts_FIRST"	"You accused Idrinth of murdering and draining the servant. He is trying to prove himself to be innocent."	"false"
"effect_bundles_localised_description_idrinth_dilemma_vampire_counts_SECOND"	"You asked Idrinth about the scroll, learning about some ancient magic theories."	"false"
"effect_bundles_localised_description_idrinth_dilemma_vampire_counts_THIRD"	"You decided on hunting for a murderer elsewhere and your troops are now on higher alert."	"false"
"effect_bundles_localised_description_idrinth_dilemma_wood_elves_FIRST"	"Idrinth and the ranger met and came to blows over what he did to her village."	"false"
"effect_bundles_localised_description_idrinth_dilemma_wood_elves_SECOND"	"You hid Idrinth from the ranger until she left. While he is grateful, it darkend his mood."	"false"
"effect_bundles_localised_description_idrinth_dilemma_wood_elves_THIRD"	"You confronted Idrinth about the ranger, making him think about his past and presence."	"false"
"effect_bundles_localised_description_idrinth_dilemma_dwarves_FIRST"	"You asked the dwarves about the elf, leading you to suspect Idrinth more. He in turn is less comftable around you, who tried to dig in his past."	"false"
"effect_bundles_localised_description_idrinth_dilemma_dwarves_SECOND"	"You exchanged Information about the Vampire Wars, having first hand information shared to you."	"false"
"effect_bundles_localised_description_idrinth_dilemma_dwarves_THIRD"	"You presented Idrinth to the dwarves. It did not go quite the way you intended, with them trying to attack the monster he had become."	"false"
"effect_bundles_localised_title_idrinth_dilemma_empire_FIRST"	"Discussed past wars"	"false"
"effect_bundles_localised_title_idrinth_dilemma_empire_SECOND"	"Discussed Magic"	"false"
"effect_bundles_localised_title_idrinth_dilemma_empire_THIRD"	"Asked her about Idrinth"	"false"
"effect_bundles_localised_title_idrinth_dilemma_high_elves_FIRST"	"Messenger chased away"	"false"
"effect_bundles_localised_title_idrinth_dilemma_high_elves_SECOND"	"Idrinth confronted"	"false"
"effect_bundles_localised_title_idrinth_dilemma_high_elves_THIRD"	"Messenger met"	"false"
"effect_bundles_localised_title_idrinth_dilemma_kislev_FIRST"	"Handed the Intruder to Idrinth"	"false"
"effect_bundles_localised_title_idrinth_dilemma_kislev_SECOND"	"Killed the Intruder"	"false"
"effect_bundles_localised_title_idrinth_dilemma_kislev_THIRD"	"Let the Intruder join you"	"false"
"effect_bundles_localised_title_idrinth_dilemma_vampire_counts_FIRST"	"Accused Idrinth"	"false"
"effect_bundles_localised_title_idrinth_dilemma_vampire_counts_SECOND"	"Asked about the scroll"	"false"
"effect_bundles_localised_title_idrinth_dilemma_vampire_counts_THIRD"	"Hunted for murderer elsewhere"	"false"
"effect_bundles_localised_title_idrinth_dilemma_wood_elves_FIRST"	"Ranger met"	"false"
"effect_bundles_localised_title_idrinth_dilemma_wood_elves_SECOND"	"Idrinth hidden"	"false"
"effect_bundles_localised_title_idrinth_dilemma_wood_elves_THIRD"	"Idrinth confronted"	"false"
"effect_bundles_localised_title_idrinth_dilemma_dwarves_FIRST"	"Asked dwarves about the elf"	"false"
"effect_bundles_localised_title_idrinth_dilemma_dwarves_SECOND"	"Approached Idrinth about the Vampire Wars"	"false"
"effect_bundles_localised_title_idrinth_dilemma_dwarves_THIRD"	"Presented Idrinth to the Dwarves"	"false"
"effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_large"	"Asuryan's Grand Protection"	"false"
"effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_large"	"Kurnous' Divine Guidance"	"false"
"effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_large"	"Khaine's Blood Tide"	"false"
"effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_medium"	"Asuryan's Protection"	"false"
"effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_medium"	"Kurnous' Guidance"	"false"
"effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_medium"	"Khaine's Blood Offering"	"false"
"effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_small"	"Asuryan's Minor Protection"	"false"
"effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_small"	"Kurnous' Subtle Guidance"	"false"
"effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_small"	"Khaine's Blood Droplet"	"false"
"effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_large"	"Your warriors not only excell at evading blows and barely getting missed by attacks, their wounds also heal significantly faster than usual."	"false"
"effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_large"	"As natural hunters, your warriors move fast and unseen while hunting for food and foe."	"false"
"effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_large"	"Your troops and new volunteers experience the rush of battle, making them more dangerous to their foes."	"false"
"effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_medium"	"Your warriors suddenly excell at evading blows and barely getting missed by attacks."	"false"
"effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_medium"	"Your warriors are naturally stealthy while hunting food and foe."	"false"
"effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_medium"	"Your warriors feel a hunger for combat in them, making both veterans and new recruits more dangerous to their foes."	"false"
