"key"	"text"	"tooltip"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthchampion"	"High Elf Vampire"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthchampion"	"Idrinth Thalui"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan"	"Asuryan's Guard"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous"	"Kurnous' Guard"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine"	"Khaine's Guard"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_mixed"	"Mixed Elven Guard"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan"	"Elves"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous"	"Elves"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine"	"Elves"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_mixed"	"Elves"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader"	"Kurnous' Priest"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader"	"Khaine's Priest"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader"	"Asuryan's Priest"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader"	"Elf"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader"	"Elf"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader"	"Elf"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_shrine"	"Shrine to Asuryan, Kurnous and Khaine"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_wolves"	"Blessed Wolves"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_cave_bats"	"Blessed Bats"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_hawks"	"Blessed Hawks"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_great_eagle"	"Blessed Great Eagle"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_shrine"	"Shrine"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_wolves"	"Wolves"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_cave_bats"	"Bats"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_hawks"	"Hawks"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_great_eagle"	"Great Eagle"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves"	"Stone Wolves"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves"	"Giant Wolves"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders"	"Chapel Outriders"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders"	"Riders"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire"	"Kurnous' Vampire Priest"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire"	"Khaine's Vampire Priest"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire"	"Asuryan's Vampire Priest"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire"	"Elf"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire"	"Elf"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire"	"Elf"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf"	"Khaine's Lost One"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf"	"Kurnous' Lost One"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf"	"Asuryan's Lost One"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf"	"Varghulf"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf"	"Varghulf"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf"	"Varghulf"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthgeneral"	"High Elf Vampire"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthgeneral"	"Idrinth Thalui"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large"	"Asuryan's Guard"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large"	"Kurnous' Guard"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_large"	"Khaine's Guard"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large"	"Elves"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large"	"Elves"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_large"	"Elves"	"false"
"land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders_large"	"Chapel Outriders"	"false"
"land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders_large"	"Riders"	"false"
