"key"	"text"	"tooltip"
"names_name_99990999999990"	"Idrinth"	"false"
"names_name_99990999999991"	"Thalui"	"false"
"names_name_99990999999992"	"Knight-Scholar"	"false"
"names_name_91003842572"	"Eva"	"false"
"names_name_91005248167"	"Plyitus"	"false"
"names_name_91012272878"	"Hagrene"	"false"
"names_name_91023980541"	"Altharloss"	"false"
"names_name_91043335079"	"Millen"	"false"
"names_name_91044214998"	"Sheeld"	"false"
"names_name_91044995477"	"Venola"	"false"
"names_name_91058692048"	"Myleere"	"false"
"names_name_91061636038"	"Kavinna"	"false"
"names_name_91063475665"	"Fonahir"	"false"
"names_name_91066656255"	"Waerna"	"false"
"names_name_91073720026"	"Hulaylian"	"false"
"names_name_91087181860"	"Felicion"	"false"
"names_name_91091045834"	"Deloria"	"false"
"names_name_910929957"	"Rinda"	"false"
"names_name_91096917599"	"Alarion"	"false"
"names_name_91119925593"	"Nasheer"	"false"
"names_name_9112654795"	"Boudicca"	"false"
"names_name_91126797147"	"Nightshade"	"false"
"names_name_91126820639"	"Caladrielle"	"false"
"names_name_91130865469"	"Sandrina"	"false"
"names_name_91143850849"	"Enna"	"false"
"names_name_91145397024"	"Koval"	"false"
"names_name_91147373454"	"Eldarion"	"false"
"names_name_91149635680"	"Zubaran"	"false"
"names_name_91163945081"	"Lorishion"	"false"
"names_name_9117103054"	"Vayeana"	"false"
"names_name_9119315689"	"Anarsis"	"false"
"names_name_91194134712"	"Fernhavest"	"false"
"names_name_91197705717"	"Saji"	"false"
"names_name_91202032358"	"Avelorrisas"	"false"
"names_name_91205288363"	"Kerthinia"	"false"
"names_name_91207993051"	"Hulaylian"	"false"
"names_name_912159699"	"Mantressa"	"false"
"names_name_91218801584"	"Damien"	"false"
"names_name_9122344455"	"Myriel"	"false"
"names_name_91225535785"	"Ramon"	"false"
"names_name_91226152662"	"Grimziyal"	"false"
"names_name_9122686813"	"Qintarra"	"false"
"names_name_91243883571"	"Rethia"	"false"
"names_name_91247905949"	"Jildou"	"false"
"names_name_91250574602"	"Bequish"	"false"
"names_name_91254391153"	"Alondrin"	"false"
"names_name_91261742987"	"Busscrone"	"false"
"names_name_91268007810"	"Circya"	"false"
"names_name_9128185431"	"Ruybiniss"	"false"
"names_name_91286859150"	"Ylrishen"	"false"
"names_name_91303889577"	"Morgan"	"false"
"names_name_91312613255"	"Orilon"	"false"
"names_name_91324369708"	"Maewhyn"	"false"
"names_name_91327343523"	"Jayadress"	"false"
"names_name_91327358560"	"Azirek"	"false"
"names_name_91327508456"	"Caladrielle"	"false"
"names_name_91329067400"	"Avelorrisas"	"false"
"names_name_9133018942"	"Arwenil"	"false"
"names_name_91348736263"	"Kelici"	"false"
"names_name_91354862277"	"Elysion"	"false"
"names_name_91355325317"	"Caydrille"	"false"
"names_name_91359526841"	"Aeden"	"false"
"names_name_91373918736"	"Bel-Nenya"	"false"
"names_name_91373928438"	"Ilona"	"false"
"names_name_91384300280"	"Elektra"	"false"
"names_name_9139274725"	"Klendrach"	"false"
"names_name_91396496474"	"Yr-Kithar"	"false"
"names_name_91397432329"	"Maudthekan"	"false"
"names_name_91404349694"	"Elise"	"false"
"names_name_91404830742"	"Elladan"	"false"
"names_name_91405360902"	"Hellespher"	"false"
"names_name_91411233647"	"Fhiron"	"false"
"names_name_91413240279"	"Relinda"	"false"
"names_name_91416443905"	"Lorna"	"false"
"names_name_91417301359"	"Lorelai"	"false"
"names_name_91421390481"	"Illiarch"	"false"
"names_name_91435311282"	"Zoltar"	"false"
"names_name_91437586017"	"Elladan"	"false"
"names_name_91442008725"	"R'Mal"	"false"
"names_name_91444170034"	"Lothiul"	"false"
"names_name_91449688241"	"Gynnash"	"false"
"names_name_91453701877"	"Velal"	"false"
"names_name_91462914341"	"Waerna"	"false"
"names_name_91469875558"	"Azalgorm"	"false"
"names_name_9147059091"	"Jayadress"	"false"
"names_name_91477685742"	"Laya-Quinn"	"false"
"names_name_91480988115"	"Tharket"	"false"
"names_name_9149095704"	"Ravena"	"false"
"names_name_91500935551"	"Kilana"	"false"
"names_name_91509126983"	"Senga"	"false"
"names_name_91517726071"	"Alizeabeth"	"false"
"names_name_91518758666"	"Ophillien"	"false"
"names_name_91525341994"	"Fandhir"	"false"
