key	text	tooltip
pooled_resources_description_idrinth_khaine	Standing with Khaine	false
pooled_resources_display_name_idrinth_khaine	Khaine Favour	false
pooled_resources_negative_factors_display_name_idrinth_khaine	Lost	false
pooled_resources_positive_factors_display_name_idrinth_khaine	Gained	false
pooled_resources_description_idrinth_kurnous	Standing with Kurnous	false
pooled_resources_display_name_idrinth_kurnous	Kurnous Favour	false
pooled_resources_negative_factors_display_name_idrinth_kurnous	Lost	false
pooled_resources_positive_factors_display_name_idrinth_kurnous	Gained	false
pooled_resources_description_idrinth_asuryan	Standing with Asuryan	false
pooled_resources_display_name_idrinth_asuryan	Asuryan Favour	false
pooled_resources_negative_factors_display_name_idrinth_asuryan	Lost	false
pooled_resources_positive_factors_display_name_idrinth_asuryan	Gained	false
