"key"	"text"	"tooltip"
"unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_withstanding"	"Oath of Withstanding"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_withstanding"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_withstanding_upgraded"	"Greater Oath of Withstanding"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_withstanding_upgraded"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_finger"	"Shadow Finger"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_finger"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_finger_upgraded"	"Greater Shadow Finger"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_finger_upgraded"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_dance"	"Shadow Dance"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_dance"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_dance_upgraded"	"Greater Shadow Dance"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_dance_upgraded"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_eternal_servitude"	"Eternal Servitude"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_eternal_servitude"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_eternal_servitude_upgraded"	"Greater Eternal Servitude"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_eternal_servitude_upgraded"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_deadly_intend"	"Deadly Intend"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_deadly_intend"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_deadly_intend_upgraded"	"Greater Deadly Intend"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_deadly_intend_upgraded"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_vengeance"	"Oath of Vengenance"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_vengeance"	""	"false"
"unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_vengeance_upgraded"	"Greater Oath of Vengenance"	"false"
"unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_vengeance_upgraded"	""	"false"
"unit_abilities_onscreen_name_idrinth_hev_high_elf_vampires_anti_chaos"	"Foe of the Ruinous Powers"	"false"
"unit_abilities_tooltip_text_idrinth_hev_high_elf_vampires_anti_chaos"	"Training specifically against the myriad enemies of the ruinous powers, these warriors are exceptional at fighting them."	"false"
