"key"	"text"	"tooltip"
"mct_patch_notes_idrinth_129_notes"	"- fix treasury costs for upgrades giving money instead of costing it"	"false"
"mct_patch_notes_idrinth_129_version"	"v1.6.4"	"false"
"mct_patch_notes_idrinth_128_notes"	"- rewritten code for better stability\\n- more options in the mod config tool\\n- many small fixes"	"false"
"mct_patch_notes_idrinth_128_version"	"v1.6.3"	"false"
"mct_patch_notes_idrinth_127_notes"	"- performance improvements for delayed function calling"	"false"
"mct_patch_notes_idrinth_127_version"	"v1.6.2"	"false"
"mct_patch_notes_idrinth_126_notes"	"- fix nowAndThen firing too often leading to crashes"	"false"
"mct_patch_notes_idrinth_126_version"	"v1.6.1"	"false"
"mct_patch_notes_idrinth_125_notes"	"- unit size upgrades\\n- beast upgrade rework"	"false"
"mct_patch_notes_idrinth_125_version"	"v1.6.0"	"false"
"mct_patch_notes_idrinth_124_notes"	"- prevent trait removal event spam"	"false"
"mct_patch_notes_idrinth_124_version"	"v1.5.2"	"false"
"mct_patch_notes_idrinth_123_notes"	"- fix to anti lighting strike"	"false"
"mct_patch_notes_idrinth_123_version"	"v1.5.1"	"false"
"mct_patch_notes_idrinth_122_notes"	"- Unit Upgrades for elven units are in"	"false"
"mct_patch_notes_idrinth_122_version"	"v1.5.0"	"false"
"mct_patch_notes_idrinth_121_notes"	"- code cleanups"	"false"
"mct_patch_notes_idrinth_121_version"	"v1.4.6"	"false"
"mct_patch_notes_idrinth_120_notes"	"- fixes name loss when assigned a pirate coast ""government position"""	"false"
"mct_patch_notes_idrinth_120_version"	"v1.4.5"	"false"
"mct_patch_notes_idrinth_119_notes"	"- fixes to battle resources\\n- code optimizations"	"false"
"mct_patch_notes_idrinth_119_version"	"v1.4.4"	"false"
"mct_patch_notes_idrinth_118_notes"	"- fixed a case where the unit upgrade panel would not show after clicking the button"	"false"
"mct_patch_notes_idrinth_118_version"	"v1.4.3"	"false"
"mct_patch_notes_idrinth_117_notes"	"- fixed a case where the unit upgrade panel would not show after clicking the button"	"false"
"mct_patch_notes_idrinth_117_version"	"v1.4.2"	"false"
"mct_patch_notes_idrinth_116_notes"	"- added hints for unit usage"	"false"
"mct_patch_notes_idrinth_116_version"	"v1.4.1"	"false"
"mct_patch_notes_idrinth_115_notes"	"- make unit blessings for waaagh animals work\\n- rebalancing buildings of horde"	"false"
"mct_patch_notes_idrinth_115_version"	"v1.4.0"	"false"
"mct_patch_notes_idrinth_114_notes"	"- fixes for unit set not encompassing everything required"	"false"
"mct_patch_notes_idrinth_114_version"	"v1.3.5"	"false"
"mct_patch_notes_idrinth_113_notes"	"- fixes for unit set not encompassing everything required"	"false"
"mct_patch_notes_idrinth_113_version"	"v1.3.4"	"false"
"mct_patch_notes_idrinth_112_notes"	"- fixes for unit set not encompassing everything required"	"false"
"mct_patch_notes_idrinth_112_version"	"v1.3.3"	"false"
"mct_patch_notes_idrinth_111_notes"	"- fixed detection of character initiatives"	"false"
"mct_patch_notes_idrinth_111_version"	"v1.3.2"	"false"
"mct_patch_notes_idrinth_110_notes"	"- fix a crash reason"	"false"
"mct_patch_notes_idrinth_110_version"	"v1.3.1"	"false"
"mct_patch_notes_idrinth_109_notes"	"- major rewrite for performance"	"false"
"mct_patch_notes_idrinth_109_version"	"v1.3.0"	"false"
"mct_patch_notes_idrinth_108_notes"	"- fix version number"	"false"
"mct_patch_notes_idrinth_108_version"	"v1.2.2"	"false"
"mct_patch_notes_idrinth_107_notes"	"- fixing antitrait handling"	"false"
"mct_patch_notes_idrinth_107_version"	"v1.2.1"	"false"
"mct_patch_notes_idrinth_106_notes"	"- icon on settlement when chapels are available\\n- a lot of code cleanups\\n- devotion system improvements with god jealousy"	"false"
"mct_patch_notes_idrinth_106_version"	"v1.2.0"	"false"
"mct_patch_notes_idrinth_105_notes"	"- fixes to the resources being misplaced in the UI"	"false"
"mct_patch_notes_idrinth_105_version"	"v1.1.18"	"false"
"mct_patch_notes_idrinth_104_notes"	"- yet another settlement ui fix"	"false"
"mct_patch_notes_idrinth_104_version"	"v1.1.17"	"false"
"mct_patch_notes_idrinth_103_notes"	"- fixing button handling in settlement view"	"false"
"mct_patch_notes_idrinth_103_version"	"v1.1.16"	"false"
"mct_patch_notes_idrinth_102_notes"	"- fix item status storing/retrieving to prevent multiple sets from being gained"	"false"
"mct_patch_notes_idrinth_102_version"	"v1.1.15"	"false"
"mct_patch_notes_idrinth_101_notes"	"- fix auto-equipping unique items"	"false"
"mct_patch_notes_idrinth_101_version"	"v1.1.14"	"false"
"mct_patch_notes_idrinth_100_notes"	"- proper lord and office titles displayed during recruitment\\n- preventing dual spawning(hopefully)"	"false"
"mct_patch_notes_idrinth_100_version"	"v1.1.13"	"false"
"mct_patch_notes_idrinth_99_notes"	"- fixing two cases of dilemmas triggering for the wrong faction(s)"	"false"
"mct_patch_notes_idrinth_99_version"	"v1.1.12"	"false"
"mct_patch_notes_idrinth_98_notes"	"- fixing one more thing in item giving"	"false"
"mct_patch_notes_idrinth_98_version"	"v1.1.11"	"false"
"mct_patch_notes_idrinth_97_notes"	"- recruiting script fixes\\n- ui fixes\\n- item script fixes"	"false"
"mct_patch_notes_idrinth_97_version"	"v1.1.10"	"false"
"mct_patch_notes_idrinth_96_notes"	"- fixing item giving code"	"false"
"mct_patch_notes_idrinth_96_version"	"v1.1.9"	"false"
"mct_patch_notes_idrinth_95_notes"	"- some tidy up tasks"	"false"
"mct_patch_notes_idrinth_95_version"	"v1.1.8"	"false"
"mct_patch_notes_idrinth_94_notes"	"- fix settings in multiplayer popping up for the wrong player"	"false"
"mct_patch_notes_idrinth_94_version"	"v1.1.7"	"false"
"mct_patch_notes_idrinth_93_notes"	"- fix version number"	"false"
"mct_patch_notes_idrinth_93_version"	"v1.1.6"	"false"
"mct_patch_notes_idrinth_92_notes"	"- prevent npc factions from getting location and story events"	"false"
"mct_patch_notes_idrinth_92_version"	"v1.1.5"	"false"
"mct_patch_notes_idrinth_91_notes"	"- fixes to item gaining"	"false"
"mct_patch_notes_idrinth_91_version"	"v1.1.4"	"false"
"mct_patch_notes_idrinth_90_notes"	"- ui fixes"	"false"
"mct_patch_notes_idrinth_90_version"	"v1.1.3"	"false"
"mct_patch_notes_idrinth_89_notes"	"- version number increment"	"false"
"mct_patch_notes_idrinth_89_version"	"v1.1.2"	"false"
"mct_patch_notes_idrinth_88_notes"	"- small script fixes"	"false"
"mct_patch_notes_idrinth_88_version"	"v1.1.1"	"false"
"mct_patch_notes_idrinth_87_notes"	"- refactoring\\n- devotion unlocked\\n- major improvements to general\\n- adding animal waaagh mechanic to general"	"false"
"mct_patch_notes_idrinth_87_version"	"v1.1.0"	"false"
"mct_patch_notes_idrinth_86_notes"	"- unlock quest spam likely fixed\\n- no more weird animals to ride on for outriders\\n- small adjustments to text clarity"	"false"
"mct_patch_notes_idrinth_86_version"	"v1.0.15"	"false"
"mct_patch_notes_idrinth_85_notes"	"- fix missing attrition immunities to the lord version"	"false"
"mct_patch_notes_idrinth_85_version"	"v1.0.14"	"false"
"mct_patch_notes_idrinth_84_notes"	"- fix favour resources not updating in the UI during the turn itself"	"false"
"mct_patch_notes_idrinth_84_version"	"v1.0.13"	"false"
"mct_patch_notes_idrinth_83_notes"	"- encamp no longer costs movement"	"false"
"mct_patch_notes_idrinth_83_version"	"v1.0.12"	"false"
"mct_patch_notes_idrinth_82_notes"	"- fixed story event toggle triggering multiple times"	"false"
"mct_patch_notes_idrinth_82_version"	"v1.0.11"	"false"
"mct_patch_notes_idrinth_81_notes"	"- add missing unit type classifications"	"false"
"mct_patch_notes_idrinth_81_version"	"v1.0.10"	"false"
"mct_patch_notes_idrinth_80_notes"	"- add forgotten positive effects to elf killer traits\\n- make sure models use at maximum 5 variants per file"	"false"
"mct_patch_notes_idrinth_80_version"	"v1.0.9"	"false"
"mct_patch_notes_idrinth_79_notes"	"- fix battle tracking\\n- fix ranged weapon damage of priests and Idrinth"	"false"
"mct_patch_notes_idrinth_79_version"	"v1.0.8"	"false"
"mct_patch_notes_idrinth_78_notes"	"- fixed resource generation bug\\n- added forgotten skill to general skill line"	"false"
"mct_patch_notes_idrinth_78_version"	"v1.0.7"	"false"
"mct_patch_notes_idrinth_77_notes"	"- fixed localization for elven slayer traits"	"false"
"mct_patch_notes_idrinth_77_version"	"v1.0.6"	"false"
"mct_patch_notes_idrinth_76_notes"	"- fixes to tavern chapel building chain"	"false"
"mct_patch_notes_idrinth_76_version"	"v1.0.5"	"false"
