key	text	tooltip
#Loc;1;text/idrinth_building_culture_variants__.de.loc.tsv/idrinth_building_culture_variants__.de.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Thaluische Kapelle	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Thaluische Kapelle des Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Thaluische Kapelle des Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Thaluische Kapelle des Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Thaluische Großkapelle des Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Thaluische Großkapelle des Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Thaluische Großkapelle des Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Tierheilhütte	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Tierheilhaus	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Tierheilanwesen	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Kleine Gesandtschaft	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Gesandtschaft	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Altarschmiede	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Kleines Thaluisches Lager	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Heilerwagen	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Quartiermeister	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Händler	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Thaluisches Lager	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Meisterheiler-Wagen	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Rat des Lagers	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Kaufmann	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Großes Thaluisches Lager	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Heilerschule auf Rädern	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Hoher Rat	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Kaufmannsgilde	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Kleines Handwerkerviertel	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Handwerkerviertel	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Kleine Elfenschenke	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Elfische Schenke	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Große Elfenschenke	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Elfische Bibliothek	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	Mobiles Thaluisches Dorf	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	Heilerakademie-Wagen	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	Dorfregierung	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	Händlergilde	false
