key	text	tooltip
#Loc;1;text/idrinth_building_sets__de.loc.tsv/idrinth_building_sets__de.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	Eine Versammlung von Schurken, Verbannten und Abenteurern elfischen Geblüts, die sich um eine Kapelle ihrer Gottheiten scharen.	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	Elfische Gemeinschaftskapelle	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	Elfische Tierheilstätte	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	Elfische Gesandtschaft	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	Elfische Handwerker	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	Elfische Tierheilstätte	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	Elfische Gesandtschaft	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	Elfische Handwerker	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	Elfisches Lager	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	Elfische Heiler	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	Elfischer Quartiermeister	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	Elfischer Händler	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	Elfisches Lager	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Elfische Heiler	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Elfischer Quartiermeister	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	Elfischer Händler	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	Elfisches Handwerkerviertel	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	Elfische Schenke	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	Elfische Bibliothek	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	Elfisches Handwerkerviertel	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	Elfische Schenke	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	Elfische Bibliothek	false
