key	text	tooltip
#Loc;1;text/idrinth_character_trait_levels__.de.loc.tsv/idrinth_character_trait_levels__.de.loc		
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_known	Ihr seid als Elfenschlächter bei Khaine und anderen Elfen bekannt.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_known	Ihr habt wider viele Elfenheere gefochten.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_known	Khaine-Verfluchter Elfenschlächter	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_despised	Ihr seid als Elfenschlächter bei Khaine und anderen Elfen bekannt.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_despised	Ihr habt wider viele Elfenheere gefochten.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_despised	Verachteter Khaine-Verfluchter Elfenschlächter	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_hated	Ihr seid als Elfenschlächter bei Khaine und anderen Elfen bekannt.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_hated	Ihr habt wider viele Elfenheere gefochten.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_hated	Gehasster Khaine-Verfluchter Elfenschlächter	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_known	Ihr seid als Elfenschlächter bei Kurnous und anderen Elfen bekannt.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_known	Ihr habt wider viele Elfenheere gefochten.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_known	Kurnous-Verfluchter Elfenschlächter	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_despised	Ihr seid als Elfenschlächter bei Kurnous und anderen Elfen bekannt.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_despised	Ihr habt wider viele Elfenheere gefochten.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_despised	Verachteter Kurnous-Verfluchter Elfenschlächter	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_hated	Ihr seid als Elfenschlächter bei Kurnous und anderen Elfen bekannt.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_hated	Ihr habt wider viele Elfenheere gefochten.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_hated	Gehasster Kurnous-Verfluchter Elfenschlächter	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_known	Ihr seid als Elfenschlächter bei Asuryan und anderen Elfen bekannt.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_known	Ihr habt wider viele Elfenheere gefochten.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_known	Asuryan-Verfluchter Elfenschlächter	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_despised	Ihr seid als Elfenschlächter bei Asuryan und anderen Elfen bekannt.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_despised	Ihr habt wider viele Elfenheere gefochten.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_despised	Verachteter Asuryan-Verfluchter Elfenschlächter	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_hated	Ihr seid als Elfenschlächter bei Asuryan und anderen Elfen bekannt.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_hated	Ihr habt wider viele Elfenheere gefochten.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_hated	Gehasster Asuryan-Verfluchter Elfenschlächter	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_hated		false
character_trait_levels_onscreen_name_idrinth_killer	Mein ist die Rache	false
character_trait_levels_removal_text_idrinth_killer		false
character_trait_levels_explanation_text_idrinth_killer	Ihr habt Idrinth Thalui besiegt.	false
character_trait_levels_colour_text_idrinth_killer	Die Bezwingung dieses legendären Lords hat Euch tieferes Verständnis des Kampfes gewährt.	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_1	Asuryan-Anhänger	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_2	Asuryan-Priester	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_3	Asuryan-Fanatiker	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_1	Asuryan-Zweifler	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_2	Asuryan-Renegat	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_1	Khaine-Anhänger	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_2	Khaine-Priester	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_3	Khaine-Fanatiker	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_1	Khaine-Zweifler	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_2	Khaine-Renegat	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_1	Kurnous-Anhänger	false
