key	text	tooltip
#Loc;1;text/.de/idrinth_effect_bundles__.de.loc		
effect_bundles_localised_description_idrinth_dilemma_empire_FIRST	Die Gelehrte war sehr an alten Kriegen interessiert. Das Gespräch mit Idrinth führte sie zur Entdeckung von Taktiken, die auch heute noch nützlich sind.	false
effect_bundles_localised_description_idrinth_dilemma_empire_SECOND	Die Gelehrte und Idrinth besprachen Magie und fanden einige kleine Verbesserungen für Eure Magier.	false
effect_bundles_localised_description_idrinth_dilemma_empire_THIRD	Ihr fragtet die Gelehrte über Idrinth aus und erfuhrt von seinem langen Krieg wider das Chaos.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_FIRST	Ihr jagtet den Boten fort und erleichtert Idrinths Leben.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_SECOND	Ihr stelltet Idrinth wegen seiner Vergangenheit zur Rede und versetztet ihn in düstere Stimmung.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_THIRD	Idrinth traf den Boten seines alten Volkes und erfuhr von den gegenwärtigen Zielen seiner Familie. Er scheint nun leichteren Gemüts.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_FIRST	Ihr übergabt den Eindringling zum Verhör an Idrinth.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_SECOND	Ihr tötetet den Eindringling und erzürntet das Mutterland, verhindert aber Schlimmeres.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_THIRD	Der Eindringling schloss sich Euch an, was Idrinth zutiefst beunruhigt.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_FIRST	Ihr beschuldigtet Idrinth des Mordes und der Blutentleerung des Dieners. Er versucht nun, seine Unschuld zu beweisen.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_SECOND	Ihr fragtet Idrinth über die Schriftrolle aus und erfuhrt von einigen uralten Magietheorien.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_THIRD	Ihr entschiedet Euch, anderswo nach einem Mörder zu suchen, und Eure Truppen sind nun wachsamer.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_FIRST	Idrinth und die Waldläuferin trafen sich und gerieten wegen dem, was er ihrem Dorf angetan hatte, aneinander.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_SECOND	Ihr verbargt Idrinth vor der Waldläuferin, bis sie ging. Obwohl er dankbar ist, verdüsterte es seine Stimmung.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_THIRD	Ihr stelltet Idrinth wegen der Waldläuferin zur Rede und brachtet ihn zum Nachdenken über seine Vergangenheit und Gegenwart.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_FIRST	Ihr fragtet die Zwerge über den Elfen aus, was Euren Verdacht gegen Idrinth verstärkte. Er wiederum fühlt sich weniger wohl bei Euch, die in seiner Vergangenheit graben wollten.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_SECOND	Ihr tauschtet Informationen über die Vampirkriege aus und erhieltet Berichte aus erster Hand.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_THIRD	Ihr stelltet Idrinth den Zwergen vor. Es verlief nicht ganz wie beabsichtigt - sie versuchten das Monster anzugreifen, das er geworden war.	false
effect_bundles_localised_title_idrinth_dilemma_empire_FIRST	Vergangene Kriege besprochen	false
effect_bundles_localised_title_idrinth_dilemma_empire_SECOND	Magie besprochen	false
effect_bundles_localised_title_idrinth_dilemma_empire_THIRD	Sie über Idrinth befragt	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_FIRST	Bote fortgejagt	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_SECOND	Idrinth zur Rede gestellt	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_THIRD	Bote getroffen	false
effect_bundles_localised_title_idrinth_dilemma_kislev_FIRST	Eindringling an Idrinth übergeben	false
effect_bundles_localised_title_idrinth_dilemma_kislev_SECOND	Eindringling getötet	false
effect_bundles_localised_title_idrinth_dilemma_kislev_THIRD	Eindringling aufgenommen	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_FIRST	Idrinth beschuldigt	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_SECOND	Über die Schriftrolle befragt	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_THIRD	Anderswo nach Mörder gesucht	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_FIRST	Waldläuferin getroffen	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_SECOND	Idrinth verborgen	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_THIRD	Idrinth zur Rede gestellt	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_FIRST	Zwerge über den Elfen befragt	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_SECOND	Idrinth über die Vampirkriege befragt	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_THIRD	Idrinth den Zwergen vorgestellt	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_large	Asuryans Großer Schutz	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_large	Kurnous' Göttliche Führung	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_large	Khaines Blutflut	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_medium	Asuryans Schutz	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_medium	Kurnous' Führung	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_medium	Khaines Blutopfer	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_small	Asuryans Geringer Schutz	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_small	Kurnous' Sanfte Führung	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_small	Khaines Blutstropfen	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_large	Eure Krieger zeichnen sich nicht nur durch das Ausweichen von Schlägen aus und werden kaum von Angriffen getroffen, ihre Wunden heilen auch bedeutend schneller als üblich.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_large	Als natürliche Jäger bewegen sich Eure Krieger schnell und ungesehen, während sie nach Nahrung und Feind jagen.	false
