key	text	tooltip
#Loc;1;text/idrinth__de.loc.tsvdb/idrinth__de.loc		
initiatives_localised_name_idrinth_khaine_pledge	Weiht Euch dem Khaine	false
initiatives_localised_name_idrinth_kurnous_pledge	Weiht Euch dem Kurnous	false
initiatives_localised_name_idrinth_asuryan_pledge	Weiht Euch dem Asuryan	false
initiatives_localised_name_idrinth_khaine_prayer	Betet zu Khaine	false
initiatives_localised_name_idrinth_kurnous_prayer	Betet zu Kurnous	false
initiatives_localised_name_idrinth_asuryan_prayer	Betet zu Asuryan	false
idrinth_khaine_pledge		false
idrinth_kurnous_pledge		false
idrinth_asuryan_pledge		false
idrinth_khaine_prayer		false
idrinth_kurnous_prayer		false
idrinth_asuryan_prayer		false
