key	text	tooltip
#Loc;1;text/.de/idrinth_land_units__.de.loc		
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthchampion	Hochelfischer Vampir	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthchampion	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Asuryans Garde	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Kurnous' Garde	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine	Khaines Garde	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_mixed	Gemischte Elfengarde	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Elfen	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Elfen	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine	Elfen	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_mixed	Elfen	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Kurnous' Priester	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Khaines Priester	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Asuryans Priester	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Elf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Elf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Elf	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_shrine	Schrein zu Asuryan, Kurnous und Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_wolves	Gesegnete Wölfe	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Gesegnete Fledermäuse	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_hawks	Gesegnete Habichte	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Gesegneter Großer Adler	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_shrine	Schrein	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_wolves	Wölfe	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Fledermäuse	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_hawks	Habichte	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Großer Adler	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Steinwölfe	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Riesenwölfe	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders	Kapellen-Vorreiter	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders	Reiter	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Kurnous' Vampirpriester	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Khaines Vampirpriester	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Asuryans Vampirpriester	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Elf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Elf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Elf	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Khaines Verlorener	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Kurnous' Verlorener	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Asuryans Verlorener	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Hochelfischer Vampir	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Asuryans Garde	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Kurnous' Garde	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Khaines Garde	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Elfen	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Elfen	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Elfen	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Kapellen-Vorreiter	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Reiter	false
