key	text	tooltip
#Loc;1;text/idrinth__de.loc.tsvdb/idrinth__de.loc		
uied_component_texts_localised_string_Idrinth_StateText_fc1bd77b	Derzeit Aktiv	false
uied_component_texts_localised_string_Idrinth_StateText_5e2400a	Idrinths Pfade-Benachrichtigungen für diesen Charakter ausschalten	false
uied_component_texts_localised_string_Idrinth_StateText_5fa40ba9	Idrinths Hingabe	false
uied_component_texts_localised_string_Idrinth_StateText_6926231c	Idrinths Gebete	false
uied_component_texts_localised_string_Idrinth_StateText_54a33572	PLATZHALTER 1	false
uied_component_texts_localised_string_Idrinth_StateText_520024dc	PLATZHALTER 4	false
uied_component_texts_localised_string_Idrinth_StateText_7df03839	PLATZHALTER 6	false
uied_component_texts_localised_string_Idrinth_StateText_2ed10066	PLATZHALTER 7	false
uied_component_texts_localised_string_Idrinth_StateText_ad00607	PLATZHALTER 8	false
uied_component_texts_localised_string_Idrinth_StateText_56956138	PLATZHALTER 9	false
uied_component_texts_localised_string_Idrinth_StateText_2d1802d	PLATZHALTER 10	false
uied_component_texts_localised_string_Idrinth_StateText_97e54363	PLATZHALTER 11	false
uied_component_texts_localised_string_Idrinth_StateText_2d67f411	PLATZHALTER 12	false
uied_component_texts_localised_string_Idrinth_StateText_d12dea81	PLATZHALTER 16	false
uied_component_texts_localised_string_Idrinth_StateText_24667457	PLATZHALTER 17	false
uied_component_texts_localised_string_Idrinth_StateText_7a688d04	PLATZHALTER 18	false
uied_component_texts_localised_string_Idrinth_StateText_3a099911	PLATZHALTER 19	false
uied_component_texts_localised_string_Idrinth_StateText_3710e3f2	PLATZHALTER 20	false
uied_component_texts_localised_string_Idrinth_StateText_49a7b394	PLATZHALTER 21	false
uied_component_texts_localised_string_Idrinth_StateText_39b3dcfe	PLATZHALTER 22	false
uied_component_texts_localised_string_Idrinth_StateText_b7030818	PLATZHALTER 23	false
uied_component_texts_localised_string_Idrinth_StateText_b68b4233	PLATZHALTER 24	false
uied_component_texts_localised_string_Idrinth_StateText_b3139611	PLATZHALTER 25	false
