key	text	tooltip
#Loc;1;text/.de/idrinth_unit_abilities__.de.loc		
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_withstanding	Eid des Aushaltens	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_withstanding		false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_withstanding_upgraded	Großer Eid des Aushaltens	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_withstanding_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_finger	Schattenfinger	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_finger		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_finger_upgraded	Großer Schattenfinger	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_finger_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_dance	Schattentanz	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_dance		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_dance_upgraded	Großer Schattentanz	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_dance_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_eternal_servitude	Ewige Knechtschaft	false
unit_abilities_tooltip_text_idrinth_lore_thalui_eternal_servitude		false
unit_abilities_onscreen_name_idrinth_lore_thalui_eternal_servitude_upgraded	Große Ewige Knechtschaft	false
unit_abilities_tooltip_text_idrinth_lore_thalui_eternal_servitude_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_deadly_intend	Tödliche Absicht	false
unit_abilities_tooltip_text_idrinth_lore_thalui_deadly_intend		false
unit_abilities_onscreen_name_idrinth_lore_thalui_deadly_intend_upgraded	Große Tödliche Absicht	false
unit_abilities_tooltip_text_idrinth_lore_thalui_deadly_intend_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_vengeance	Eid der Rache	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_vengeance		false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_vengeance_upgraded	Großer Eid der Rache	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_vengeance_upgraded		false
unit_abilities_onscreen_name_idrinth_hev_high_elf_vampires_anti_chaos	Widersacher der Verderblichen Mächte	false
unit_abilities_tooltip_text_idrinth_hev_high_elf_vampires_anti_chaos	Speziell ausgebildet gegen die mannigfaltigen Feinde der Verderblichen Mächte, sind diese Krieger außergewöhnlich im Kampf gegen sie.	false
