key	text	tooltip
#Loc;1;text/idrinth__es.loc.tsv/idrinth__es.loc		
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	Capilla de la Comunidad Élfica	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	Una Capilla para una pequeña comunidad de exiliados, aventureros y vagabundos elfos.	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	Capilla de la Comunidad Élfica	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_beasts	Veterinaria Élfica	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_diplomacy	Extensión Élfica	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_altar	Artesanos Elfos	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde	Campamento Élfico	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Sanadores Elfos	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendente Élfico	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_trader	Comerciante Élfico	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters	Barrio de Artesanos	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern	Taberna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library	Biblioteca Élfica	false
