key	text	tooltip
#Loc;1;text/idrinth__es.loc.tsv/idrinth__es.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Capilla Thaluiana	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Capilla Thaluiana de Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Capilla Thaluiana de Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Capilla Thaluiana de Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Gran Capilla Thaluiana de Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Gran Capilla Thaluiana de Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Gran Capilla Thaluiana de Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Cabaña Veterinaria	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Casa Veterinaria	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Mansión Veterinaria	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Extensión Menor	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Extensión	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Artesanos de Altares	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Pequeño Campamento Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Carromato de Sanador	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Intendente	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Comerciante	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Campamento Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Carromato de Sanador Maestro	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Consejo del Campamento	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Mercader	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Gran Campamento Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Carromato Escuela de Sanadores	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Alto Consejo	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Gremio de Mercaderes	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Pequeño Barrio de Artesanos	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Barrio de Artesanos	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Pequeña Taberna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Taberna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Gran Taberna Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Biblioteca Élfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	Mobile Thaluian Village	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	Healer Academy Wagons	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	Village Government	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	Merchant Guild	false
