key	text	tooltip
#Loc;1;text/idrinth_building_sets__.es.loc.tsv/idrinth_building_sets__.es.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	Una reunión de pícaros, exiliados y aventureros de raza élfica que se congregan alrededor de una capilla dedicada a sus deidades.	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	Capilla de la Comunidad Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	Veterinaria Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	Extensión Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	Artesanos Elfos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	Veterinaria Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	Extensión Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	Artesanos Elfos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	Campamento Élfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	Sanadores Elfos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendente Élfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	Comerciante Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	Campamento Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Sanadores Elfos	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendente Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	Comerciante Élfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	Barrio de Artesanos Elfos	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	Taberna Élfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	Biblioteca Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	Barrio de Artesanos Elfos	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	Taberna Élfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	Biblioteca Élfica	false
