key	text	tooltip
#Loc;1;text/idrinth_cdir_events_dilemma_choice_details__.es.loc.tsv/idrinth_cdir_events_dilemma_choice_details__.es.loc		
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceFIRST	Aceptar ayuda. (Héroe)	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceTHIRD	Aceptar ayuda. (General)	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceSECOND	Ahuyentar al extraño.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesFIRST	Ahuyentar al mensajero	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesFIRST	Forzarlos a encontrarse	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevFIRST	Entregarlo a Idrinth	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireFIRST	Dejar que ella e Idrinth discutan sobre guerras pasadas	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsFIRST	Acusarlo de matar al sirviente	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesSECOND	Confrontar a Idrinth	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesSECOND	Esconder a Idrinth hasta que la guardabosques desaparezca	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevSECOND	Ejecutarlo	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireSECOND	Dejar que ella e Idrinth discutan sobre magia	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsSECOND	Preguntarle sobre el pergamino	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesTHIRD	Hacer que se encuentren	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesTHIRD	Confrontar a Idrinth	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevTHIRD	Dejarlo unirse a ti	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireTHIRD	Preguntarle sobre Idrinth	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsTHIRD	Buscar al asesino en otro lugar	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesFIRST	Acercarse a los enanos para preguntar más sobre ese elfo	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesSECOND	Acercarse a Idrinth sobre las guerras vampíricas	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesTHIRD	Presentar a Idrinth ante los enanos	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponFIRST	Asuryan.	false
