key	text	tooltip
#Loc;1;text/idrinth__es.loc.tsv/idrinth__es.loc		
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_known	Eres un conocido matador de elfos para Khaine y otros elfos.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_known	Has luchado contra muchos ejércitos de elfos.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_known	Matador de Elfos Maldito por Khaine	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_despised	Eres un conocido matador de elfos para Khaine y otros elfos.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_despised	Has luchado contra muchos ejércitos de elfos.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_despised	Matador de Elfos Maldito por Khaine Despreciado	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_hated	Eres un conocido matador de elfos para Khaine y otros elfos.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_hated	Has luchado contra muchos ejércitos de elfos.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_hated	Matador de Elfos Maldito por Khaine Odiado	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_known	Eres un conocido matador de elfos para Kurnous y otros elfos.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_known	Has luchado contra muchos ejércitos de elfos.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_known	Matador de Elfos Maldito por Kurnous	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_despised	Eres un conocido matador de elfos para Kurnous y otros elfos.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_despised	Has luchado contra muchos ejércitos de elfos.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_despised	Matador de Elfos Maldito por Kurnous Despreciado	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_hated	Eres un conocido matador de elfos para Kurnous y otros elfos.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_hated	Has luchado contra muchos ejércitos de elfos.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_hated	Matador de Elfos Maldito por Kurnous Odiado	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_known	Eres un conocido matador de elfos para Asuryan y otros elfos.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_known	Has luchado contra muchos ejércitos de elfos.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_known	Matador de Elfos Maldito por Asuryan	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_known		false
