key	text	tooltip
#Loc;1;text/idrinth__es.loc.tsv/idrinth__es.loc		
dilemmas_localised_description_idrinth_unlock_choice	Un extraño encapuchado aparece una noche, ofreciendo su ayuda por una pequeña tarifa. ¿Aceptas la ayuda?	false
dilemmas_localised_title_idrinth_unlock_choice	El Extraño	false
dilemmas_localised_description_idrinth_dilemma_high_elves	Un mensajero elfo llega, buscando a un Idrinth. El Idrinth que conoces lo ha evitado hasta ahora, ¿quizás podrías ayudar?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	Una guardabosques elfa silvana llega a tu campamento. Afirmando que necesita a su primo ensangrentado. Mientras Idrinth rápidamente confirma que se refería a él, se niega a encontrarse.	false
dilemmas_localised_description_idrinth_dilemma_empire	Una vieja erudita se acerca a tu campamento. Cargando libros del pasado, afirma haber encontrado conocimiento valioso para ti.	false
dilemmas_localised_description_idrinth_dilemma_kislev	De noche, mientras un viento helado tortura a tus guardias, atrapan a un kislevita intentando colarse en el campamento. Es joven y aparentemente inofensivo, pero ¿qué haces con él?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	Una noche encuentras a uno de tus sirvientes drenado de sangre justo fuera de la tienda de Idrinth. Al entrar precipitadamente, lo encuentras leyendo un pergamino antiguo sentado en su mesa.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	El Mensajero	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	Primos de Sangre	false
dilemmas_localised_title_idrinth_dilemma_kislev	¡Intruso!	false
dilemmas_localised_title_idrinth_dilemma_empire	La Erudita	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	El Fin del Sirviente	false
dilemmas_localised_description_idrinth_dilemma_dwarves	Un grupo de enanos ha sido avistado cerca. Tus exploradores han escuchado sus historias sobre las guerras vampíricas. Un elfo mencionado suena sospechosamente como Idrinth.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	Una vieja disputa	false
dilemmas_localised_description_idrinth_dilemma_weapon	Después de la última cacería, Idrinth se te acerca con lo que parece ser un arma élfica antigua. Te pide consejo sobre a quién dedicarla.	false
dilemmas_localised_title_idrinth_dilemma_weapon	Un Arma Bendecida	false
dilemmas_localised_description_idrinth_dilemma_armour	Después de la última batalla, Idrinth se te acerca con lo que parece ser una armadura élfica antigua. Te pide consejo sobre a quién dedicarla.	false
dilemmas_localised_title_idrinth_dilemma_armour	Una Armadura Bendecida	false
dilemmas_localised_description_idrinth_dilemma_talisman	Después de terminar el viaje del día, Idrinth se te acerca con lo que parece ser un talismán élfico antiguo. Te pide consejo sobre a quién dedicarlo.	false
dilemmas_localised_title_idrinth_dilemma_talisman	Un Talismán Bendecido	false
dilemmas_localised_description_idrinth_mode_choice	Activa la fidelidad al lore más estricta para limitar las culturas de reclutamiento para el Caballero-Erudito Idrinth Thalui a Altos Elfos, Elfos Silvanos, Kislev, El Imperio y Condes Vampiro. Elige el modo más flexible para tener también a la Costa Vampírica, Legiones de Nagash, Elfos Oscuros, Catay y Bretonia en la lista.	false
dilemmas_localised_title_idrinth_mode_choice	Modo: Fidelidad al Lore Estricta o Flexible	false
dilemmas_localised_description_idrinth_dilemma_unlock_high_elves	Después de aceptar tu moneda, el extraño se presenta como un compañero Asur llamado Idrinth. Al quitarse sus ropas de viaje ves la armadura gastada por la batalla de un maestro del saber, una espada a juego y un arco de metal cerca de ojos estoicos que insinúan brutalidades aún por cometer.	false
dilemmas_localised_title_idrinth_dilemma_unlock_high_elves	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_wood_elves	Espero con ansias luchar junto a los cazadores de los bosques, primo, declara el asur en tono amistoso mientras guarda su pago y capa de viaje. Puede que no sea tan buen tirador como vosotros, pero no os retrasaré. Una leve sonrisa divertida juega alrededor de sus labios exangües antes de desaparecer. ¡Tengamos una cacería de la que se hablará durante siglos!	false
dilemmas_localised_title_idrinth_dilemma_unlock_wood_elves	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_kislev	El extraño se desviste tras haber sido pagado y revela un rostro élfico y armamento élfico bajo sus ropas de viaje. Mi nombre es Idrinth, he estado luchando contra nuestros enemigos durante más tiempo del que la mayoría de vosotros habéis vivido. Disfrutaría practicando con la fuerza y enseñándoles. Una leve sonrisa juega alrededor de sus labios exangües antes de desaparecer en un rostro sin edad.	false
dilemmas_localised_title_idrinth_dilemma_unlock_kislev	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_empire	He luchado y sangrado con guerreros que creen en Ulric o Sigmar. Tenemos los mismos enemigos, declara mientras se quita sus ropas de viaje, y espero con ansias hacerlos retroceder contigo. Compartir mi conocimiento para el mejoramiento del mundo. Sus ojos miran fríamente a los humanos que rezan antes de devolver su atención al general y su guardia.	false
dilemmas_localised_title_idrinth_dilemma_unlock_empire	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_vampire_counts	El extraño baja su capucha, revelando rasgos élficos. No soy amigo de la destrucción, pero nuestros enemigos forzaron mi mano. Guardando sus monedas declara: Volver a la familia después de muchos años cuando están en peligro es lo correcto, sin importar quién sea esa familia. ¿No estás de acuerdo?	false
dilemmas_localised_title_idrinth_dilemma_unlock_vampire_counts	Idrinth Thalui	false
dilemmas_localised_description_idrinth_chapels_choice	¿Quieres habilitar las Capillas Thaluianas para tu campaña? Ofrecen defensas y opciones adicionales en comparación con solo tener al héroe.	false
dilemmas_localised_description_idrinth_levelMinimum_choice	Para reclutar a Idrinth Thalui, el Caballero-Erudito, necesitarás tener un general con un nivel mínimo. ¿Qué tan temprano quieres poder reclutarlo?	false
dilemmas_localised_title_idrinth_story_choice	Eventos de Historia	false
dilemmas_localised_description_idrinth_story_choice	¿Quieres habilitar eventos de historia cuando Idrinth llegue a lugares específicos e importantes?	false
dilemmas_localised_title_idrinth_chapels_choice	Las Capillas Thaluianas	false
dilemmas_localised_title_idrinth_levelMinimum_choice	Rango de Renombre	false
dilemmas_localised_title_idrinth_story_dilemma_drakenhof	Drakenhof	false
dilemmas_localised_title_idrinth_story_dilemma_temple_of_khaine	Templo de Khaine	false
dilemmas_localised_title_idrinth_story_dilemma_shrine_of_khaine	Santuario de Khaine	false
dilemmas_localised_title_idrinth_story_dilemma_temple_of_asuryan	Templo de Asuryan	false
dilemmas_localised_title_idrinth_story_dilemma_temple_of_kurnous	Templo de Kurnous	false
dilemmas_localised_title_idrinth_story_dilemma_shrine_of_loec	Santuario de Loec	false
dilemmas_localised_title_idrinth_story_dilemma_hel_fenn	Hel Fenn	false
dilemmas_localised_title_idrinth_story_dilemma_black_pyramid	Pirámide Negra de Nagash	false
