key	text	tooltip
#Loc;1;text/idrinth__es.loc.tsv/idrinth__es.loc		
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthchampion	Vampiro Alto Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthchampion	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Guardia de Asuryan	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Guardia de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine	Guardia de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_mixed	Guardia Élfica Mixta	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_mixed	Elfos	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Sacerdote de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Sacerdote de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Sacerdote de Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_shrine	Santuario de Asuryan, Kurnous y Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_wolves	Lobos Bendecidos	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Murciélagos Bendecidos	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_hawks	Halcones Bendecidos	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Gran Águila Bendecida	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_shrine	Santuario	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_wolves	Lobos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Murciélagos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_hawks	Halcones	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Gran Águila	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Lobos de Piedra	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Lobos Gigantes	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders	Exploradores de la Capilla	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders	Jinetes	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Sacerdote Vampiro de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Sacerdote Vampiro de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Sacerdote Vampiro de Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Perdido de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Perdido de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Perdido de Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Vampiro Alto Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Guardia de Asuryan	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Guardia de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Guardia de Khaine	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Elfos	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Elfos	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Exploradores de la Capilla	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Jinetes	false
