key	text	tooltip
#Loc;1;text/idrinth_mct__.es.loc.tsv/idrinth_mct__.es.loc		
mct_idrinth_title	Idrinth Thalui - El Maestro del Saber Vampiro Alto Elfo	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	La Historia de un Maestro del Saber Caído\\n\\nUna vez un respetado Maestro del Saber Alto Elfo, Idrinth Thalui encontró su fin mortal durante las sangrientas Guerras Vampíricas, solo para resurgir como una de las criaturas contra las que luchó. Ahora este Caballero-Erudito camina un sendero precario entre su herencia élfica y su maldición vampírica, buscando un propósito en un mundo desgarrado por el Caos.\\n\\n¿Lo guiarás hacia la redención o abrazarás la oscuridad interior? Su destino está en tus manos.	false
mct_idrinth_expanded_spawn_text	Culturas de Aparición Expandidas	false
mct_idrinth_expanded_spawn_tooltip	Permite que Idrinth aparezca también para Bretonia, Cathay, las Legiones de Nagash, Elfos Oscuros y Costa Vampírica.	false
mct_idrinth_level_adjustment_text	Requisito de Nivel	false
mct_idrinth_level_adjustment_options_null_text	Juego Temprano	false
mct_idrinth_level_adjustment_options_one_text	Final del Juego Temprano	false
mct_idrinth_level_adjustment_options_three_text	Inicio del Juego Medio	false
mct_idrinth_level_adjustment_options_six_text	Juego Medio	false
mct_idrinth_level_adjustment_tooltip	Modifica el requisito de nivel para obtener la misión de desbloqueo de Idrinth.	false
mct_idrinth_god_item_difficulty_text	Dificultad de Objetos Bendecidos por Dioses	false
mct_idrinth_god_item_difficulty_options_low_text	Requisitos Bajos	false
mct_idrinth_god_item_difficulty_options_normal_text	Requisitos Normales	false
mct_idrinth_god_item_difficulty_options_high_text	Requisitos Altos	false
mct_idrinth_god_item_difficulty_tooltip	Modifica los requisitos para recibir los objetos bendecidos por los dioses.	false
mct_idrinth_chapel_chance_text	Probabilidad de Aparición de Capillas	false
mct_idrinth_chapel_chance_options_low_text	Probabilidad Baja	false
mct_idrinth_chapel_chance_options_normal_text	Probabilidad Normal	false
mct_idrinth_chapel_chance_options_high_text	Probabilidad Alta	false
mct_idrinth_chapel_chance_tooltip	Modifica la probabilidad de que las Capillas Thaluianas aparezcan por la presencia de Idrinth.	false
mct_idrinth_story_events_text	Activar Eventos de Historia	false
mct_idrinth_story_events_tooltip	Permite que Idrinth notifique al jugador cuando alcanza regiones específicas importantes para él.	false
mct_idrinth_chapels_text	Capillas Thaluianas	false
mct_idrinth_chapels_tooltip	Permite que Idrinth funde capillas que fortalecen las defensas de las ciudades y afectan la generación de favor divino.	false
mct_idrinth_dilemma_cooldown_text	Tiempo de Espera de Dilemas	false
mct_idrinth_dilemma_cooldown_options_low_text	Bajo (1 + [1-2])	false
mct_idrinth_dilemma_cooldown_options_medium_text	Medio (2 + [1-3])	false
mct_idrinth_dilemma_cooldown_options_long_text	Largo (3 + [1-4])	false
mct_idrinth_dilemma_cooldown_tooltip	Modifica el tiempo de espera entre dilemas que requieren decisiones.	false
mct_idrinth_names_text	Renombrado de Unidades	false
mct_idrinth_names_tooltip	Cuando está marcado, las unidades obtienen un nombre personalizado al reclutar, extraído de una lista de nombres élficos.	false
mct_idrinth_logging_text	Activar Registro Propio	false
mct_idrinth_logging_tooltip	Cuando está marcado, este mod registra en el directorio raíz del juego como idrinth.*.log.	false
mct_idrinth_base_logging_text	Activar Uso del Registro del Juego Base	false
mct_idrinth_base_logging_tooltip	Cuando está marcado, este mod usa la función de registro del juego base.	false
mct_idrinth_section_idrinth_story_features_name	Opciones de Características de Historia	false
mct_idrinth_section_idrinth_game_features_name	Opciones de Características del Juego	false
mct_idrinth_section_idrinth_chances_name	Probabilidades	false
mct_idrinth_section_idrinth_spawn_name	Opciones de Aparición	false
mct_idrinth_section_idrinth_other_name	Opciones Adicionales	false
mct_idrinth_section_idrinth_cooldowns_name	Opciones de Tiempo de Espera	false
mct_idrinth_intervention_cooldown_text	Tiempo de Espera de Intervención	false
mct_idrinth_intervention_cooldown_options_low_text	Bajo (80%)	false
mct_idrinth_intervention_cooldown_options_medium_text	Medio (100%)	false
mct_idrinth_intervention_cooldown_options_long_text	Largo (120%)	false
mct_idrinth_intervention_cooldown_tooltip	Modifica el tiempo de espera entre intervenciones divinas.	false
mct_idrinth_animal_waaagh_text	WAAAGH Animal	false
mct_idrinth_animal_waaagh_tooltip	Cuando está marcado, Idrinth es seguido por un ejército WAAAGH compuesto de animales. Desactivarlo no hace desaparecer al ejército.	false
mct_idrinth_vampire_chance_text	Probabilidad de Conversión Vampírica	false
mct_idrinth_vampire_chance_options_low_text	Baja (10% de éxito base)	false
mct_idrinth_vampire_chance_options_normal_text	Normal (15% de éxito base)	false
mct_idrinth_vampire_chance_options_high_text	Alta (20% de éxito base)	false
mct_idrinth_vampire_chance_tooltip	Cambia la probabilidad de que los sacerdotes sobrevivan al ser convertidos en vampiros.	false
mct_idrinth_story_dilemma_base_chance_text	Probabilidad Base de Dilemas de Historia	false
mct_idrinth_story_dilemma_base_chance_options_low_text	Baja	false
mct_idrinth_story_dilemma_base_chance_options_normal_text	Normal	false
mct_idrinth_story_dilemma_base_chance_options_high_text	Alta	false
mct_idrinth_story_dilemma_base_chance_tooltip	Cambia la probabilidad de que se activen los dilemas de decisiones de historia.	false
mct_idrinth_god_item_base_chance_text	Probabilidad Base de Objetos Divinos	false
mct_idrinth_god_item_base_chance_options_low_text	Baja	false
mct_idrinth_god_item_base_chance_options_normal_text	Normal	false
mct_idrinth_god_item_base_chance_options_high_text	Alta	false
mct_idrinth_god_item_base_chance_tooltip	Cambia la probabilidad de que se ofrezcan objetos divinos.	false
mct_idrinth_elf_slayer_traits_text	Rasgos de Matador de Elfos	false
mct_idrinth_elf_slayer_traits_tooltip	Activa los rasgos por matar elfos. Desactivarlo no elimina los niveles de rasgos existentes.	false
mct_idrinth_devotion_traits_text	Rasgos de Devoción	false
mct_idrinth_devotion_traits_tooltip	Activa los rasgos por dedicar tiempo a un dios específico. Desactivarlo no elimina los niveles de rasgos existentes.	false
mct_idrinth_interventions_text	Activar Intervención Divina	false
mct_idrinth_interventions_tooltip	Si está activado, Asuryan, Kurnous y Khaine intervendrán cuando tu favor sea alto, usando parte de él para mejoras de toda la facción.	false
mct_idrinth_groovy_logging_text	Activar Uso del Registro Groovy	false
mct_idrinth_groovy_logging_tooltip	Cuando está marcado, este mod registra con el sistema de registro proporcionado por el MCT.	false
