key	text	tooltip
#Loc;1;text/idrinth_pooled_resources__.es.loc.tsv/idrinth_pooled_resources__.es.loc		
pooled_resources_description_idrinth_khaine	Reputación con Khaine	false
pooled_resources_display_name_idrinth_khaine	Favor de Khaine	false
pooled_resources_negative_factors_display_name_idrinth_khaine	Perdido	false
pooled_resources_positive_factors_display_name_idrinth_khaine	Ganado	false
pooled_resources_description_idrinth_kurnous	Reputación con Kurnous	false
pooled_resources_display_name_idrinth_kurnous	Favor de Kurnous	false
pooled_resources_negative_factors_display_name_idrinth_kurnous	Perdido	false
pooled_resources_positive_factors_display_name_idrinth_kurnous	Ganado	false
pooled_resources_description_idrinth_asuryan	Reputación con Asuryan	false
pooled_resources_display_name_idrinth_asuryan	Favor de Asuryan	false
pooled_resources_negative_factors_display_name_idrinth_asuryan	Perdido	false
pooled_resources_positive_factors_display_name_idrinth_asuryan	Ganado	false
