key	text	tooltip
#Loc;1;text/.es/idrinth_uied_component_texts__.es.loc		
uied_component_texts_localised_string_Idrinth_StateText_fc1bd77b	Actualmente Activo	false
uied_component_texts_localised_string_Idrinth_StateText_5e2400a	Desactivar las notificaciones de Caminos de Idrinth para este personaje	false
uied_component_texts_localised_string_Idrinth_StateText_5fa40ba9	Devoción de Idrinth	false
uied_component_texts_localised_string_Idrinth_StateText_6926231c	Oraciones de Idrinth	false
uied_component_texts_localised_string_Idrinth_StateText_54a33572	MARCADOR 1	false
uied_component_texts_localised_string_Idrinth_StateText_520024dc	MARCADOR 4	false
uied_component_texts_localised_string_Idrinth_StateText_7df03839	MARCADOR 6	false
uied_component_texts_localised_string_Idrinth_StateText_2ed10066	MARCADOR 7	false
uied_component_texts_localised_string_Idrinth_StateText_ad00607	MARCADOR 8	false
uied_component_texts_localised_string_Idrinth_StateText_56956138	MARCADOR 9	false
uied_component_texts_localised_string_Idrinth_StateText_2d1802d	MARCADOR 10	false
uied_component_texts_localised_string_Idrinth_StateText_97e54363	MARCADOR 11	false
uied_component_texts_localised_string_Idrinth_StateText_2d67f411	MARCADOR 12	false
uied_component_texts_localised_string_Idrinth_StateText_d12dea81	MARCADOR 16	false
uied_component_texts_localised_string_Idrinth_StateText_24667457	MARCADOR 17	false
uied_component_texts_localised_string_Idrinth_StateText_7a688d04	MARCADOR 18	false
uied_component_texts_localised_string_Idrinth_StateText_3a099911	MARCADOR 19	false
uied_component_texts_localised_string_Idrinth_StateText_3710e3f2	MARCADOR 20	false
uied_component_texts_localised_string_Idrinth_StateText_49a7b394	MARCADOR 21	false
uied_component_texts_localised_string_Idrinth_StateText_39b3dcfe	MARCADOR 22	false
uied_component_texts_localised_string_Idrinth_StateText_b7030818	MARCADOR 23	false
uied_component_texts_localised_string_Idrinth_StateText_b68b4233	MARCADOR 24	false
uied_component_texts_localised_string_Idrinth_StateText_b3139611	MARCADOR 25	false
