key	text	tooltip
#Loc;1;text/idrinth_building_culture_variants__fr.loc.tsv/idrinth_building_culture_variants__fr.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Chappelle Thaluienne	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Chappelle Thaluienne d'Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Chappelle Thaluienne de Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Chappelle Thaluienne de Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Grande Chappelle Thaluienne d'Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Grande Chappelle Thaluienne de Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Grande Chapelle Thaluienne de Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Hutte des Vétérinaires	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Maison des Vétérinaires	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Manoir des Vétérinaires	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Petite Ambassade	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Ambassade	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Artisans d'Autels	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Petit Campement Thaluien	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Chariot des Guérisseurs	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Intendant	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Marchand	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Campement Thaluien	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Chariot du Maître Guérisseur	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Conseil du Campement	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Négociant	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Grand Campement Thaluien	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	École des Guérisseurs	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Haut Conseil	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Guilde des Marchands	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Petit Quartier des Artisans	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Quartier des Artisans	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Petite Taverne Elfique	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Taverne Elfique	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Grande Taverne Elfique	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Bibliothèque Elfique	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	Village Thaluien Mobile	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	Chariots de l'Académie des Guérisseurs	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	Gouvernement du Village	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	Guilde des Marchands	false
