key	text	tooltip
#Loc;1;text/idrinth__fr.loc.tsvdb/idrinth__fr.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	Un rassemblement de malandrins, exilés et aventuriers de la gent elfique autour d'une chapelle dédiée à leurs divinités.	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	Chappelle Communautaire Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	Vétérinaires Elfiques	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	Ambassade Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	Artisans Elfiques	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	Vétérinaires Elfiques	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	Ambassade Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	Artisans Elfiques	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	Campement Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	Guérisseurs Elfiques	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendant Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	Marchands Elfiques	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	Campement Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Guérisseurs Elfiques	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Intendant Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	Marchands Elfiques	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	Quartier des Artisans Elfiques	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	Taverne Elfique	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	Bibliothèque Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	Quartier des Artisans Elfiques	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	Taverne Elfique	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	Bibliothèque Elfique	false
