key	text	tooltip
#Loc;1;text/.fr/idrinth_character_skills__.fr.loc		
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Entraînement de l'Ost	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Assassinat	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Assaut des Unités	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Spécialiste	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Vaillance des Âges	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Célérité d'Asuryan	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Protection de Hoeth	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Protection de Loec	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Frappe Colossale	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Maître de l'Épée	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Insaisissable	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Conviction	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Ferveur	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Inviolable	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Ténacité	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Évasion	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Ancrage	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Drain de Puissance	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Conduit Arcanique	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	Volonté Immortelle	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	Invocation de Nehek	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	Danse Macabre de Vanhel	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	Regard de Nagash	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	Malédiction des Années	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	Vent de Mort	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_training		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_cost		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_ages		false
